Gene = Pomp
index = 1386
Annotated 5SS: [130 460]
Annotated 3SS: [193 746]
SMsplice 5SS: [130 460]
SMsplice 3SS: [193 746]
top_k =  1000
Partition function (log Z): -1.4203290422070047

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.945764426349629
Position 460: 0.8004536914106143
Position 431: 0.17955979271506187
Position 986: 0.0623719967015776
Position 657: 0.00411198053388654
Position 630: 0.003026240024390649
Position 1198: 0.0007203898677965386
Position 665: 0.000705477489966219
Position 476: 0.0006121178435530185
Position 1129: 0.0005668597826683227
Position 970: 0.0005052050118514554
Position 426: 0.00043783559222763745
Position 677: 0.0004133424726733226
Position 1351: 0.00037575367703757584
Position 23: 0.0003680125762379738
Position 1219: 0.00035385349212047344
Position 66: 0.0002660018348312827
Position 1276: 0.0002496624764558591
Position 648: 0.00022740006300526458
Position 39: 0.00021646593983790528
Position 853: 0.000198843432251854
Position 134: 0.0001822974292620997
Position 646: 0.00013721087851171977
Position 343: 0.00012109575066634677
Position 1065: 0.00011953174920351622
Position 389: 8.486507990111147e-05
Position 898: 6.928430779443865e-05
Position 836: 6.576535479525671e-05
Position 850: 6.479393763537844e-05
Position 1032: 6.00339656237615e-05
Position 1369: 5.3360770976947503e-05
Position 492: 4.5474048901772163e-05
Position 883: 3.0264940138263656e-05
Position 1025: 2.2303503144007838e-05
Position 254: 2.122604340902235e-05
Position 229: 1.496731380902221e-05
Position 1241: 1.396323208853115e-05
Position 299: 1.2461259381250416e-05
Position 1135: 7.340551367647852e-06
Position 12: 5.748154766345604e-06
Position 539: 4.668916232817989e-06
Position 227: 4.635316906623613e-06
Position 1178: 4.225704286764343e-06
Position 1150: 3.1435054391217207e-06
Position 1069: 2.9368557530602407e-06
Position 155: 2.595849464058236e-06
Position 212: 1.9313752344389473e-06
Position 252: 1.8218194623087515e-06
Position 146: 1.7555758346404221e-06
Position 1036: 1.623118269025828e-06
Position 454: 1.439379255962072e-06
Position 70: 1.2810827448939372e-06
Position 779: 5.38429779811053e-07
Position 1132: 3.400852456420409e-07
Position 193: 2.701028858411436e-07
Position 233: 1.1454622705665614e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.9895717586822181
Position 193: 0.9217229887838181
Position 1065: 0.04732939360444656
Position 199: 0.016509757720384623
Position 1250: 0.010583137076385677
Position 677: 0.006165531801995723
Position 1396: 0.002787203871819997
Position 1125: 0.0019959284548038154
Position 1338: 0.0014744566015908657
Position 1436: 0.0009689700738906051
Position 212: 0.0006090504178769916
Position 700: 0.0005220228287683686
Position 1263: 0.00040929957566634355
Position 361: 0.00035518975707328146
Position 1128: 0.0002680656181518888
Position 79: 0.00019326084941874148
Position 217: 0.00018126782026527618
Position 115: 0.00014158202884071203
Position 554: 0.0001407570484772344
Position 1340: 9.861607987603319e-05
Position 589: 7.545480937951689e-05
Position 920: 6.40055762663885e-05
Position 492: 6.0301743086200175e-05
Position 1169: 4.1811769347427674e-05
Position 657: 3.6617590210986074e-05
Position 226: 3.591820685817276e-05
Position 1369: 3.438426995065186e-05
Position 322: 2.959913015520354e-05
Position 501: 2.9143055315451704e-05
Position 514: 2.746681991533024e-05
Position 459: 2.66219035175801e-05
Position 1285: 2.529770311669401e-05
Position 1145: 2.3358438938367338e-05
Position 946: 2.328041469980949e-05
Position 1213: 1.785654294547574e-05
Position 158: 1.648596650456455e-05
Position 979: 1.0280164107894117e-05
Position 400: 7.757025354213477e-06
Position 824: 7.737734727926864e-06
Position 343: 7.137365401772721e-06
Position 155: 6.564222356059515e-06
Position 1215: 6.174350761869883e-06
Position 522: 5.687655784759153e-06
Position 271: 5.496147403623506e-06
Position 935: 4.501484386600221e-06
Position 430: 4.500646237698453e-06
Position 1351: 2.2575167694855863e-06
Position 951: 1.5573536511892604e-06
Position 819: 1.3087770164255122e-06
Position 898: 1.0502697955390782e-06
Position 883: 1.00657633315627e-06
Position 798: 9.253553737601539e-07
Position 134: 3.471708070831565e-07
Position 529: 2.196792728468134e-07
Position 840: 8.56744115664106e-08
Position 337: 4.0498018667385566e-08
Position 412: 3.452109747749444e-08
Position 146: 3.096133114855624e-08
Position 379: 1.1993413337935798e-08
Position 983: 3.255660196310084e-10
Position 471: 1.5620864524451593e-11
Position 573: 5.946926719669713e-12
Position 564: 3.532177988196061e-12
Position 160: 1.4724572460181924e-14
