Gene = Mip
index = 1279
Annotated 5SS: [287]
Annotated 3SS: [3610]
SMsplice 5SS: [100]
SMsplice 3SS: [3610]
top_k =  1000
Partition function (log Z): -6.6338239568035124

Sorted 5' Splice Sites (High to Low Probability):
Position 100: 0.5547101352481574
Position 287: 0.43993368189365906
Position 3049: 0.08810155098672592
Position 4139: 0.04691901872147975
Position 3683: 0.03069099481315554
Position 3411: 0.007788831613651474
Position 134: 0.007584405219926931
Position 363: 0.007369853960682611
Position 4266: 0.004967406112541232
Position 1177: 0.004529903266085435
Position 294: 0.004212996443100841
Position 4527: 0.002655969358314869
Position 3904: 0.002492945902679825
Position 3757: 0.0024653267514068047
Position 2390: 0.0015269737519831763
Position 4315: 0.0015094737387608176
Position 376: 0.0014340071915500525
Position 939: 0.0013481730208152092
Position 3510: 0.0012720284213053408
Position 4305: 0.0009670381094448043
Position 4326: 0.0009656926575833386
Position 26: 0.0008847289788428838
Position 876: 0.0006596152134753738
Position 1222: 0.0005593436733929577
Position 4497: 0.00046652418767311637
Position 2533: 0.0004462199924821692
Position 884: 0.00044236976165200705
Position 3760: 0.00043886365614905897
Position 373: 0.0004155350449496045
Position 699: 0.00039638628450774195
Position 3312: 0.00037377869990668975
Position 3105: 0.00033054018082150614
Position 3701: 0.00032424775216950084
Position 388: 0.00031092381902596993
Position 3277: 0.00028777724975243983
Position 3789: 0.00028284363553321196
Position 4122: 0.000276198158339083
Position 2165: 0.0002736406851642328
Position 2730: 0.0002491053398380308
Position 744: 0.0002119275061254548
Position 3282: 0.00021070377670429205
Position 318: 0.0002102652567266406
Position 558: 0.0001960847228438691
Position 2115: 0.00017637258877615416
Position 254: 0.0001721874772837093
Position 211: 0.00017173339306672235
Position 736: 0.00016360436951319676
Position 1183: 0.0001456734201550719
Position 856: 0.00014446014278133196
Position 922: 0.00012996939040719641
Position 1600: 0.00012800048479967682
Position 3497: 0.00012229710819586405
Position 2146: 0.00011388783387984913
Position 1186: 0.0001107034603674336
Position 4176: 9.400914603447261e-05
Position 1181: 7.433129985609954e-05
Position 1010: 7.240371977465065e-05
Position 1818: 6.215973562476512e-05
Position 602: 6.0464251391015165e-05
Position 185: 5.953735450551444e-05
Position 3053: 5.415806970744816e-05
Position 2149: 5.082887506451679e-05
Position 3831: 5.000389526817908e-05
Position 95: 4.708398363019748e-05
Position 291: 4.189608524250268e-05
Position 2331: 3.960429928767637e-05
Position 282: 3.9373619019202925e-05
Position 719: 3.9033242758737114e-05
Position 1594: 3.822584419242606e-05
Position 2977: 3.8094966504747225e-05
Position 3859: 3.3930176360730194e-05
