Gene = slam
index = 1877
Annotated 5SS: [ 194 2920]
Annotated 3SS: [ 907 2985]
SMsplice 5SS: [ 194 2920]
SMsplice 3SS: [ 907 2985]
top_k =  1000
Partition function (log Z): -5.653106534713923

Sorted 5' Splice Sites (High to Low Probability):
Position 2920: 0.9952447513649866
Position 194: 0.7658010536955661
Position 598: 0.2322288533623706
Position 1051: 0.16888237465389808
Position 2065: 0.07761990628063095
Position 1055: 0.05813014568068075
Position 42: 0.05323460596957229
Position 249: 0.03064730206113008
Position 359: 0.030132221848674815
Position 1531: 0.02985734052943862
Position 3680: 0.02982561645607016
Position 817: 0.024421029090697776
Position 646: 0.021609618337748288
Position 2450: 0.01762489742992498
Position 1654: 0.011908441240013315
Position 3038: 0.010780545492965365
Position 1845: 0.010676817557566881
Position 1753: 0.00916684803243989
Position 1586: 0.009088001270502601
Position 828: 0.008883151462573593
Position 1577: 0.008867032261823124
Position 938: 0.008588700344098029
Position 533: 0.008481534608976079
Position 307: 0.006523819046960582
Position 4189: 0.006294861716332058
Position 48: 0.005191196084804741
Position 131: 0.005148589235126466
Position 3206: 0.002825831860796493
Position 801: 0.0027383680653478145
Position 2245: 0.0026446242237357395
Position 727: 0.002453767438284759
Position 292: 0.0020938994299229277
Position 112: 0.001790917240106057
Position 88: 0.0017228616532157669
Position 568: 0.0016937914733676372
Position 529: 0.0012572890802780372
Position 159: 0.0012230210402104905
Position 627: 0.0011593933709646265
Position 962: 0.0009804477139690223
Position 650: 0.0009660968789830586
Position 648: 0.0008398012111910713
Position 3458: 0.0007264884358712158
Position 3388: 0.0006185647081717533
Position 3215: 0.0006100578226857315
Position 11: 0.0005749756585142775
Position 761: 0.0005448822423177182
Position 721: 0.00036844662626039774
Position 747: 0.0003540259490152993
Position 541: 0.0003511092839148274
Position 3520: 0.00034091700754150034
Position 4771: 0.0003033098796682437
Position 128: 0.00028877859903231676
Position 3201: 0.0002691164660972
Position 1100: 0.0002583193798597442
Position 535: 0.00021945936312414363
Position 325: 0.00021187450095595784
Position 2891: 0.00020448280899975892
Position 399: 0.0001641539413961426
Position 457: 0.0001462763228512509
Position 3242: 0.00014130380058201638
Position 1240: 0.00012805185436550503
Position 808: 0.00012356970776645723
Position 198: 0.0001223368333129196
Position 3616: 0.00012061588076714465
Position 4783: 0.00010638295199164841
Position 4337: 9.876703697475163e-05
Position 137: 9.450440200067159e-05
Position 1136: 8.520253553087083e-05
Position 681: 7.849029988898442e-05
Position 602: 6.78388664050637e-05
Position 662: 5.7997976273701286e-05
Position 686: 5.68677893936409e-05
Position 3506: 5.485508245180536e-05
Position 3840: 5.402872118557951e-05
Position 908: 4.9562747915277844e-05
Position 1151: 4.8966295920141817e-05
Position 55: 4.8014807580236446e-05
Position 449: 4.641339119420868e-05
Position 3675: 3.815376555931723e-05
Position 3300: 3.1719102535962243e-05
Position 3319: 3.0363079507226412e-05
Position 169: 2.4495971262946072e-05
Position 2644: 1.4231595551727308e-05
Position 147: 1.3756064159315176e-05
Position 586: 1.168208887008354e-05
Position 1777: 9.584298728293269e-06
Position 95: 8.82250226474528e-06
Position 1158: 8.672818877315471e-06
Position 1819: 8.336078508330545e-06
Position 347: 5.199199573069466e-06
Position 135: 2.689960707734803e-06
Position 119: 2.0115865444465027e-06
Position 414: 2.010112760887494e-06
Position 424: 1.4109390941388527e-06
Position 549: 1.282464146032752e-06
Position 3740: 9.777657912456202e-07
Position 3261: 7.139442136371277e-07
Position 716: 6.9295725150729e-07
Position 3252: 6.083835098568746e-07
Position 227: 5.363021244126949e-07
Position 901: 5.162402993823437e-07
Position 2591: 3.100356936082999e-07
Position 1026: 2.751078380483043e-07
Position 265: 2.315763517684518e-07
Position 1559: 2.0927487943510003e-07
Position 2183: 1.7095165362220345e-07
Position 1658: 1.4850250138383616e-07
Position 1474: 4.889010661895929e-08
Position 2558: 2.509665603049083e-08
Position 1829: 1.9427885351430208e-08
Position 1962: 1.3544918755782818e-08
Position 149: 1.149735331152782e-08
Position 1437: 9.411324869358807e-09
Position 3124: 3.104251227424531e-09
Position 3065: 1.9059400417147263e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2985: 0.9943592717332118
Position 907: 0.7147912946703427
Position 452: 0.2629963108294815
Position 2475: 0.22922935361407631
Position 2504: 0.12911734357940668
Position 1115: 0.08825791882318915
Position 410: 0.030098141782725716
Position 3732: 0.028679538333566998
Position 845: 0.022661472619526727
Position 930: 0.02034859440297893
Position 727: 0.011182302615548046
Position 2133: 0.008888961999727165
Position 993: 0.00868285689868218
Position 1199: 0.008489826193025272
Position 1108: 0.008396646751442522
Position 1221: 0.007488928987996575
Position 1236: 0.006733799187545398
Position 1740: 0.006118025175946961
Position 468: 0.005441837461841228
Position 1912: 0.005305352514236276
Position 2271: 0.005011965933670336
Position 4253: 0.004853768008260702
Position 621: 0.004747406818816657
Position 873: 0.004194116791639636
Position 2050: 0.0037453829015437648
Position 966: 0.003673386599979847
Position 2439: 0.003361911568821288
Position 474: 0.003345958380847427
Position 3346: 0.0027095313821240436
Position 1277: 0.002351974243326746
Position 247: 0.002238223796876357
Position 253: 0.0021800662440492487
Position 3520: 0.002146035821733515
Position 3006: 0.0020249190566319747
Position 1473: 0.0019082800176128789
Position 3858: 0.0017988038226226235
Position 3111: 0.0017612347199407765
Position 1169: 0.0016442277229301962
Position 4256: 0.001587706254316095
Position 792: 0.001408266844535367
Position 414: 0.0013945692916171632
Position 3393: 0.0013718973388027048
Position 390: 0.0013636617080412966
Position 3813: 0.0013055443211336052
Position 3582: 0.0012706744984559103
Position 1126: 0.001225307974774501
Position 1173: 0.0010430946405054651
Position 219: 0.0009333945305630387
Position 3793: 0.0009182253628399462
Position 1496: 0.0008262371719473472
Position 3294: 0.0007869057547026039
Position 320: 0.0007653601245188152
Position 1809: 0.000745269803480219
Position 1814: 0.0006464159971803796
Position 3184: 0.0005840016427013159
Position 3114: 0.0005802648357333031
Position 3163: 0.0005617206726998242
Position 2993: 0.0005132202496771803
Position 2121: 0.00046252591178724595
Position 233: 0.0004249305317026098
Position 1704: 0.00040262689961486503
Position 4871: 0.00034250449149422947
Position 1290: 0.000341724090413969
Position 3033: 0.0003377298825311295
Position 3458: 0.00033731353424558115
Position 4204: 0.00033694081687783153
Position 3945: 0.0003265982168547997
Position 1136: 0.00032233877458152883
Position 3680: 0.0002821624238521284
Position 4685: 0.00027656088813503375
Position 3818: 0.00025090823385791257
Position 504: 0.00021838387163231073
Position 128: 0.00017144284054843766
Position 339: 0.00016914709176157287
Position 1130: 0.00016796120078549668
Position 3753: 0.0001668928596791759
Position 3542: 0.0001626885738578536
Position 4076: 0.00015906155456453248
Position 1776: 0.00014882152145480158
Position 1647: 0.0001097475566827226
Position 4001: 0.0001069002052006161
Position 4887: 0.00010614633724480089
Position 162: 9.074335104361568e-05
Position 4864: 6.853313427431579e-05
Position 359: 6.498378941620796e-05
Position 4175: 6.290341524672563e-05
Position 3037: 5.1741583680532344e-05
Position 805: 4.676380498058314e-05
Position 292: 4.3789416761838294e-05
Position 421: 3.625775951845536e-05
Position 3407: 2.7703663902965937e-05
Position 4833: 2.7440604741648022e-05
Position 3261: 2.1096765126265503e-05
Position 3968: 1.906606236656603e-05
Position 3242: 1.8825205776236495e-05
Position 3010: 1.7655955435191093e-05
Position 646: 1.6296836844285685e-05
Position 3057: 1.54230191726728e-05
Position 159: 1.0393588716734694e-05
Position 541: 9.119515398681446e-06
Position 3171: 7.1083100897821424e-06
Position 627: 5.346502554505443e-06
Position 563: 5.149587236781359e-06
Position 237: 3.0781418886763733e-06
