Gene = Pdxk
index = 1365
Annotated 5SS: [456 627]
Annotated 3SS: [526 692]
SMsplice 5SS: [456 627]
SMsplice 3SS: [526 692]
top_k =  1000
Partition function (log Z): -0.2380471099823403

Sorted 5' Splice Sites (High to Low Probability):
Position 627: 0.9980377074905087
Position 456: 0.7867455190116412
Position 140: 0.10400462412851834
Position 788: 0.06273313482504946
Position 435: 0.04523465237243663
Position 980: 0.01733157404629929
Position 835: 0.01519556116097949
Position 361: 0.005683315920202543
Position 423: 0.005655810150306338
Position 867: 0.005491632552953948
Position 31: 0.002595118334507878
Position 632: 0.0017680785749382426
Position 1376: 0.001675583584464478
Position 1468: 0.0013188255057675648
Position 239: 0.001270821862820234
Position 172: 0.001196325256640732
Position 387: 0.0011751798735903122
Position 13: 0.0010404443883428134
Position 1046: 0.0009539905865699317
Position 258: 0.0009134838845568881
Position 858: 0.0008031909348354016
Position 74: 0.0007764831719531025
Position 1043: 0.0006890628955254514
Position 260: 0.0006169999429490268
Position 159: 0.0006129232936223296
Position 262: 0.0005991834429545765
Position 264: 0.0005468404368728512
Position 266: 0.0004043714605662434
Position 736: 0.0002823640432944966
Position 408: 0.00023847030142072878
Position 1143: 0.00023454576016221717
Position 901: 0.0002323776479347454
Position 10: 0.00019136917432777467
Position 26: 0.00018142094303063205
Position 108: 0.00017277725835758217
Position 411: 0.0001490858015690996
Position 1018: 0.00014628013689948577
Position 28: 0.00012711260562953564
Position 186: 0.0001176377873169064
Position 1015: 8.587778835803382e-05
Position 48: 8.495742493584756e-05
Position 1157: 7.013889440966222e-05
Position 1086: 4.984191083906181e-05
Position 1029: 4.921566582367399e-05
Position 843: 4.700830925810561e-05
Position 839: 4.465060866389547e-05
Position 851: 3.884933532720452e-05
Position 1059: 3.8525730943222834e-05
Position 1571: 3.207468656767295e-05
Position 956: 2.25182819671617e-05
Position 833: 1.7307196578820935e-05
Position 1343: 1.683510543341963e-05
Position 270: 1.659140227793044e-05
Position 1527: 1.5546132626421198e-05
Position 1419: 1.2539211088340395e-05
Position 268: 1.082896462412597e-05
Position 775: 1.0391284958194261e-05
Position 708: 9.578195313367801e-06
Position 330: 7.139384445542505e-06
Position 998: 6.5431246532766355e-06
Position 813: 3.7857438044510943e-06
Position 1299: 3.005561761175521e-06
