Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  1000
Partition function (log Z): -0.3496257111729293

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9941654565502341
Position 680: 0.952772858208583
Position 211: 0.6961141199338617
Position 197: 0.035900865473178556
Position 1221: 0.017354022840213548
Position 1431: 0.003762978450995002
Position 1428: 0.0034378860737956972
Position 616: 0.002450030359480659
Position 215: 0.0017440320372903986
Position 1289: 0.0007810719161764245
Position 857: 0.0007549660038419998
Position 684: 0.000515468398467598
Position 1586: 0.0003435890933088434
Position 82: 0.0003383081093974043
Position 788: 0.00032954521307165514
Position 1358: 0.00027081915370006087
Position 1305: 0.00022427964931975294
Position 571: 0.00015140662555912127
Position 136: 0.00012350152999068443
Position 331: 0.0001139052231044874
Position 1435: 9.337333511501528e-05
Position 286: 8.687683868045177e-05
Position 24: 7.107048377214181e-05
Position 1225: 6.201282528984802e-05
Position 663: 3.5972257676490226e-05
Position 141: 3.5502494554744345e-05
Position 844: 3.458672802728638e-05
Position 455: 3.1922443983594034e-05
Position 1235: 2.7922232001226374e-05
Position 303: 2.4952422560671137e-05
Position 353: 2.2898543736621757e-05
Position 339: 2.1003424564526472e-05
Position 133: 1.7955677446360917e-05
Position 968: 1.6222365029263643e-05
Position 854: 1.5440772880274606e-05
Position 1101: 1.3848336968982442e-05
Position 1579: 1.1949105827846093e-05
Position 1008: 1.1491992958057444e-05
Position 892: 1.145107687565991e-05
Position 1320: 1.1232097947979488e-05
Position 1313: 1.0259701726979944e-05
Position 1204: 7.427086240677509e-06
Position 297: 7.258448368867478e-06
Position 1095: 6.6664305993980995e-06
Position 793: 6.253180254678847e-06
Position 365: 5.896702882471027e-06
Position 1444: 5.244603815970324e-06
Position 1133: 3.509513583642015e-06
Position 517: 3.454308523370574e-06
Position 385: 3.0623677966520843e-06
Position 1546: 3.023601642493051e-06
Position 126: 2.9624791957802114e-06
Position 646: 2.7885302054320205e-06
Position 27: 2.549482363316703e-06
Position 920: 1.995904952456765e-06
Position 206: 1.5264534616299005e-06
Position 1113: 1.5033137540473415e-06
Position 1107: 1.3852439476695365e-06
Position 764: 1.2871345890677833e-06
Position 1119: 1.0506763622941622e-06
Position 1556: 6.090222789015341e-07
Position 909: 5.382772364437857e-07
Position 110: 4.999006533610506e-07
Position 1542: 4.4506059236945435e-07
Position 562: 2.1871201110109915e-07
Position 584: 3.4956691185562457e-08
Position 743: 2.0767926827200482e-08
Position 740: 1.600750221120632e-08
Position 755: 1.1053935589746522e-08
Position 758: 6.472699118012429e-09
Position 1125: 6.249804072904991e-09
Position 1089: 4.603342649137709e-09
Position 930: 3.4323102717276207e-10
Position 534: 1.9239917310611356e-10
Position 1370: 8.281197277118952e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9978876958508522
Position 740: 0.9410238018860163
Position 267: 0.4403921344701655
Position 338: 0.22988551948014432
Position 303: 0.0452761702640069
Position 1382: 0.019774002180750903
Position 1507: 0.013525190776350874
Position 359: 0.0053733051690022324
Position 286: 0.0027053256938422204
Position 1089: 0.0025574324216663313
Position 283: 0.002373548686553729
Position 988: 0.001812823517789565
Position 822: 0.0017906248250859997
Position 309: 0.0015247093156255753
Position 248: 0.0010617845952079446
Position 562: 0.0008451498559920163
Position 1022: 0.0006904842614911394
Position 959: 0.0006013309327641791
Position 385: 0.0005726765659777994
Position 139: 0.0003604747189782582
Position 937: 0.0003020870354305404
Position 1637: 0.0002462904007345585
Position 868: 0.00023817763111808564
Position 793: 0.0001840250539285923
Position 635: 0.00017312235746694396
Position 365: 0.00016678840418780184
Position 1289: 0.00014780272387751914
Position 1431: 0.00014288774480032842
Position 516: 0.00011574228478481971
Position 1630: 0.00011220643327520883
Position 368: 0.00011058313919147495
Position 840: 9.025612738476987e-05
Position 684: 7.558561812433243e-05
Position 1201: 6.128388949617202e-05
Position 1305: 4.503878545663003e-05
Position 107: 2.7985122573273323e-05
Position 1389: 2.6312924341806508e-05
Position 507: 2.1926379761992557e-05
Position 787: 1.6897628768771367e-05
Position 1095: 1.343175981605652e-05
Position 1615: 9.121842567246253e-06
Position 1107: 6.291352779039964e-06
Position 1029: 2.9744631962903836e-06
Position 1395: 2.5579185972308234e-06
Position 1634: 2.5156473554328106e-06
Position 847: 2.0743587546538413e-06
Position 77: 1.8362884307975648e-06
Position 1403: 1.6058253673190821e-06
Position 1602: 1.490693502686275e-06
Position 69: 1.4652348901756517e-06
Position 483: 1.2254177413639786e-06
Position 1235: 7.436414475023527e-07
Position 193: 5.050070478019587e-07
Position 227: 4.2496407343038365e-07
Position 1113: 4.148944412177417e-07
Position 82: 1.916326204624064e-07
Position 162: 9.68018139654346e-08
Position 201: 7.432830808676493e-08
Position 110: 7.153865862960629e-08
Position 1119: 8.971677705415633e-09
Position 1125: 5.08717240492962e-09
Position 1225: 2.3427967417782646e-10
Position 178: 3.21963805036371e-11
Position 170: 2.5331637717704864e-12
Position 180: 8.442478222637546e-14
