Gene = Nrt
index = 1332
Annotated 5SS: [ 469 8295]
Annotated 3SS: [7641 8357]
SMsplice 5SS: [ 469 8295]
SMsplice 3SS: [7641 8357]
top_k =  1000
Partition function (log Z): -4.6064134600630995

Sorted 5' Splice Sites (High to Low Probability):
Position 8295: 0.9992508347155462
Position 469: 0.6855967500702732
Position 172: 0.2356679784784472
Position 9836: 0.1275252369605645
Position 7571: 0.04745057702325371
Position 10270: 0.04682825262269604
Position 546: 0.03519166573451176
Position 1525: 0.028653657088392792
Position 8583: 0.023820758939516223
Position 1570: 0.021800785714466447
Position 1723: 0.020571779415236215
Position 7272: 0.015378350588579304
Position 1112: 0.014813536174015587
Position 10770: 0.014224799316284144
Position 9679: 0.013899880446634427
Position 590: 0.012335748717244497
Position 4045: 0.01079585724786297
Position 4267: 0.009565357039840303
Position 6002: 0.009277503817353176
Position 1765: 0.008385346077103267
Position 305: 0.007171239736922587
Position 1023: 0.007166867214410813
Position 9206: 0.00710573173041617
Position 1268: 0.0064339649959215366
Position 5414: 0.006124290851377018
Position 8902: 0.006024881226041844
Position 7533: 0.004699824061512317
Position 9510: 0.004623241783014005
Position 7398: 0.00396268865717318
Position 2327: 0.003819522340993207
Position 2743: 0.0037793524328306963
Position 1820: 0.003454910206961412
Position 9489: 0.0033497296543491253
Position 417: 0.0033186729418958685
Position 9890: 0.003159657870219478
Position 5835: 0.0030611677517282526
Position 626: 0.0030584190650424898
Position 8704: 0.003037693431694792
Position 1277: 0.0029727616237407075
Position 8505: 0.0027987055995247526
Position 9901: 0.0027311674009875193
Position 3556: 0.0024697712750067595
Position 7137: 0.002071660313819666
Position 9091: 0.001989602355954978
Position 9156: 0.0018609332083271753
Position 10665: 0.0017416963347616215
Position 179: 0.0014532316653393155
Position 9441: 0.0013755208176122937
Position 3: 0.0012251804672013325
Position 7109: 0.0011905719181699037
Position 2594: 0.001108142323307624
Position 5875: 0.001082055126179047
Position 2313: 0.0009565375455701435
Position 4804: 0.0009075766863584618
Position 165: 0.0009046085428706695
Position 1184: 0.0008930686569011722
Position 6033: 0.0008402938186119887
Position 2514: 0.0007760856021242658
Position 4930: 0.0007100735818620107
Position 9407: 0.0007064326988622026
Position 309: 0.0006791062881513964
Position 9344: 0.0006404073592195616
Position 2016: 0.0006385182699002442
Position 1769: 0.0005661377016657666
Position 8555: 0.000492937892172133
Position 6198: 0.00047403620332961947
Position 757: 0.0004731686534695444
Position 11040: 0.000466145492802644
Position 8845: 0.0004629459939960489
Position 351: 0.00045151003898833526
Position 1446: 0.0004436068599704482
Position 1326: 0.0004279542397235604
Position 9074: 0.0004255711224755474
Position 9663: 0.0004206662424102844
Position 10461: 0.00040790591675058725
Position 9434: 0.00039970120931109236
Position 1286: 0.000379530963846338
Position 6462: 0.00034953546045024325
Position 8274: 0.00033642867976318855
Position 9008: 0.0003161770566144322
Position 9086: 0.0002622822344761992
Position 8290: 0.00025273802725669
Position 555: 0.0002525568096849969
Position 1580: 0.0002204488727470329
Position 10094: 0.00022039177731271415
Position 2943: 0.00021885720603104662
Position 1725: 0.00021602083955625019
Position 8731: 0.00021398776955604393
Position 8765: 0.00019941867112149514
Position 682: 0.0001981869627066931
Position 186: 0.00018653572239186878
Position 9354: 0.00018488172715807198
Position 5888: 0.00017600043352627515
Position 4650: 0.0001718298716755111
Position 1318: 0.00016430763920213985
Position 1735: 0.0001465104731519885
Position 8729: 0.0001452545756629367
Position 1973: 0.00014185620383582533
Position 1849: 0.00013991877723329763
Position 9071: 0.00013749653235496436
Position 507: 0.00012744524884111496
Position 11169: 0.00012286744562785078
Position 9334: 0.00012173977534367718
Position 51: 0.00012172024474154243
Position 2251: 0.00011722839915700318
Position 11069: 0.00011693263446804536
Position 2310: 0.00011508578266305089
Position 10408: 0.000114145915467986
Position 8480: 0.00010235327257992151
Position 10390: 0.00010164918760413052
Position 176: 8.808326567719505e-05
Position 809: 8.596782735254718e-05
Position 447: 8.55682245575332e-05
Position 8758: 8.413336037917586e-05
Position 9197: 7.517814208772374e-05
Position 2254: 6.861176679781587e-05
Position 8777: 6.464343416362847e-05
Position 2507: 6.391898183489073e-05
Position 2113: 6.12432476582853e-05
Position 3494: 6.0752483396324295e-05
Position 5881: 5.988040177408922e-05
Position 8918: 5.883334249621923e-05
Position 11013: 5.6039676237648374e-05
Position 8709: 4.718595263599802e-05
Position 9701: 4.5950661611291095e-05
Position 8772: 4.367059655513069e-05
Position 9041: 4.042952732516049e-05
Position 9929: 3.924042082858965e-05
Position 10862: 3.767062075603267e-05
Position 10339: 3.4652945057512844e-05
