Gene = Lrr47
index = 1252
Annotated 5SS: [664]
Annotated 3SS: [724]
SMsplice 5SS: [647]
SMsplice 3SS: [724]
top_k =  1000
Partition function (log Z): -8.15556385589878

Sorted 5' Splice Sites (High to Low Probability):
Position 647: 0.5064722240086409
Position 664: 0.45155508757532153
Position 277: 0.09532224602128904
Position 309: 0.05229811020759084
Position 499: 0.021602364103394636
Position 508: 0.006598597678819845
Position 1657: 0.004839718937532437
Position 1387: 0.004437562835726714
Position 1174: 0.002271291790825957
Position 1105: 0.0018371058803307325
Position 338: 0.0017970786948424257
Position 640: 0.0017935926699032111
Position 235: 0.0015519880184933063
Position 890: 0.001324355764320901
Position 828: 0.001301427397769299
Position 8: 0.0006634519594728997
Position 1713: 0.0003215284339201429
Position 1743: 0.00030018778024008905
Position 1166: 0.00024917669705670575
Position 1661: 0.00022999444228548782
Position 978: 0.0002149759900949033
Position 35: 0.0002074441026662663
Position 908: 0.00016445738453253932
Position 372: 0.00015312622811317585
Position 1344: 0.0001433510739489629
Position 786: 0.00013532038776750978
Position 54: 0.00013114804503566057
Position 1411: 0.0001272831858198763
Position 313: 0.000124545766967068
Position 528: 0.00011399435490472237
Position 1547: 9.448143578693421e-05
Position 298: 9.300631661104669e-05
Position 589: 9.274202591954537e-05
Position 1451: 6.788922377404136e-05
Position 939: 6.089711978891022e-05
Position 802: 5.686745857931224e-05
Position 1055: 5.329707602863905e-05
Position 40: 4.8524764868095446e-05
Position 1377: 4.57661219051121e-05
Position 989: 4.265101607686854e-05
Position 1553: 4.232679144761916e-05
Position 1057: 4.208343252162451e-05
Position 118: 3.871640733972671e-05
Position 1453: 3.662131980994421e-05
Position 1859: 3.64580526796677e-05
Position 115: 3.3894189677640176e-05
Position 853: 2.8349091924573526e-05
Position 1606: 2.3966152801547284e-05
Position 295: 2.3955384950367105e-05
Position 1298: 2.17739073103943e-05
Position 1144: 1.9566209406879138e-05
Position 152: 1.7237518569388725e-05
Position 1703: 1.702173453569632e-05
Position 680: 1.6332169721524682e-05
Position 245: 1.5826713936717468e-05
Position 1392: 1.2835911780274898e-05
Position 1621: 9.66824144346756e-06
Position 72: 8.967408966547357e-06
Position 1048: 8.373429396491804e-06
Position 1370: 7.993462900748438e-06
Position 157: 7.042204157998908e-06
Position 1801: 6.151501213872772e-06
Position 1367: 5.609530951383869e-06
Position 1322: 5.292404569056211e-06
Position 991: 3.7754094514182356e-06
Position 1301: 3.7394953476592933e-06
Position 1588: 3.7159847753608043e-06
Position 832: 3.6950535290507088e-06
Position 109: 3.20994426139386e-06
Position 102: 2.5007228045110135e-06
Position 65: 1.316873257390477e-06
Position 901: 9.01023013640158e-08
Position 701: 6.135432193845761e-08
Position 1009: 7.890911836606017e-09
Position 1341: 1.18837722696512e-09
Position 1728: 7.568500407552884e-10
Position 741: 2.939887534938266e-10
Position 744: 1.2314601683316645e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 724: 0.9256644118886187
Position 348: 0.07736195874062443
Position 387: 0.06031891998090741
