Gene = aust
index = 1617
Annotated 5SS: [290]
Annotated 3SS: [355]
SMsplice 5SS: [290]
SMsplice 3SS: [355]
top_k =  1000
Partition function (log Z): -0.9120198509784203

Sorted 5' Splice Sites (High to Low Probability):
Position 290: 0.9972580426929172
Position 747: 0.00788237377167253
Position 679: 0.007069876767484296
Position 203: 0.005210872817391072
Position 193: 0.0005437334784698033
Position 801: 0.00013115237506496064
Position 643: 5.847604597051993e-05
Position 200: 5.2108327819624924e-05
Position 258: 3.570707072262293e-05
Position 175: 3.332462941769161e-05
Position 631: 2.9350095143034922e-05
Position 607: 2.766089767682867e-05
Position 783: 2.4339463815478068e-05
Position 487: 1.42373457279611e-05
Position 323: 1.016257497969557e-05
Position 514: 1.0043047412340903e-05
Position 598: 7.433893882357462e-06
Position 100: 6.987699085455885e-06
Position 924: 4.165083830873214e-06
Position 712: 2.343934986736693e-06
Position 451: 1.8304451225008214e-06
Position 554: 1.4162080031745477e-06
Position 574: 1.1727464003422775e-06
Position 4: 1.1678131927251405e-06
Position 308: 1.1554220535444559e-06
Position 921: 9.6941162678082e-07
Position 467: 8.772295136821547e-07
Position 25: 3.498855271904351e-07
Position 329: 2.425349117366246e-07
Position 877: 7.027499459088233e-08
Position 869: 3.7083695122355996e-08
Position 544: 3.454593771451982e-08
Position 380: 2.3790542571371333e-08
Position 817: 2.1158957837363087e-08
Position 62: 1.641444179032543e-08
Position 896: 8.282999144112507e-09
Position 398: 7.42974596180419e-09
Position 108: 6.973720741077088e-09
Position 843: 5.829106605480512e-09
Position 857: 4.432953637330852e-09
Position 890: 4.138449417759754e-09
Position 849: 3.982677240371705e-09
Position 881: 3.3512817407940685e-09
Position 884: 3.163109950370938e-09
Position 854: 1.957719343397637e-09
Position 875: 1.3940562449786612e-09
Position 338: 1.3334322956722257e-09
Position 59: 1.1621133348812172e-09
Position 392: 4.710616593271457e-10
Position 395: 8.440687636780457e-12
Position 384: 5.548206232863309e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 355: 0.9980847999996186
Position 817: 0.007020752354164316
Position 854: 0.004239343170411675
Position 757: 0.003526983043545041
Position 264: 0.002470402802249183
Position 392: 0.0008677993988920211
Position 282: 0.0006862138835263923
Position 380: 0.00045932945563907136
Position 417: 0.0003702633112539583
Position 991: 0.0002600379317730023
Position 363: 0.00019024948884756952
Position 766: 0.00014345624902735224
Position 678: 6.177823854922953e-05
Position 590: 9.314610206849752e-06
Position 549: 9.250626383223686e-06
Position 869: 8.141336057266317e-06
Position 777: 6.782641332231422e-06
Position 206: 1.9251773547371283e-06
Position 621: 8.84204730949043e-07
Position 55: 8.807007711098428e-07
Position 241: 5.23149108787666e-07
Position 654: 3.4885126658355026e-07
Position 192: 3.4203202009832324e-07
Position 684: 2.822104009352609e-07
Position 441: 2.492868173765266e-07
Position 66: 2.2403839474128704e-07
Position 525: 2.2327724061908036e-07
Position 234: 1.8974935822467122e-07
Position 284: 1.679249761670852e-07
Position 636: 1.4939976891992334e-07
Position 81: 1.0344295879203211e-07
Position 318: 9.391895333749064e-08
Position 533: 9.30734879497902e-08
Position 48: 5.6048742929446684e-08
Position 168: 4.5744344277092826e-08
Position 458: 3.502194616378604e-08
Position 321: 2.0631977745738502e-08
Position 100: 1.8216474172082054e-08
Position 141: 1.7899079788419153e-08
Position 219: 1.7014727146695664e-08
Position 72: 1.434989261091935e-08
Position 94: 7.3565735729448345e-09
Position 174: 6.411431813773129e-09
Position 78: 5.968319109447896e-09
Position 159: 5.076047759678758e-09
Position 172: 7.185438153974986e-10
Position 216: 6.280478473307731e-10
Position 150: 5.893926503830238e-10
Position 138: 1.9430589161273234e-10
Position 643: 2.4128531204678424e-11
Position 434: 6.3829368113920344e-12
Position 663: 3.953078163857249e-12
Position 289: 1.919019845800752e-12
Position 508: 1.8796777966168748e-12
Position 467: 1.5399308518759977e-12
Position 155: 6.514663760536269e-13
Position 510: 3.370207750444e-13
Position 96: 8.433541684090552e-14
Position 294: 5.2457249960015254e-15
Position 323: 1.496120814878879e-17
