Gene = Uggt
index = 1583
Annotated 5SS: [432]
Annotated 3SS: [614]
SMsplice 5SS: [432 800]
SMsplice 3SS: [ 614 4828]
top_k =  1000
Partition function (log Z): -8.880822718184291

Sorted 5' Splice Sites (High to Low Probability):
Position 432: 0.7345640308049876
Position 800: 0.629431571028614
Position 665: 0.1958963259796952
Position 515: 0.09849211904802085
Position 166: 0.04653964174228568
Position 109: 0.03859925392313468
Position 490: 0.0361040409460044
Position 1070: 0.029019184062843834
Position 1466: 0.017267028604620968
Position 561: 0.015171604039483063
Position 5040: 0.013613364076264726
Position 1729: 0.012467209182499666
Position 921: 0.011593322776477838
Position 521: 0.010819368240964708
Position 2082: 0.010746643685224226
Position 102: 0.010624683970303354
Position 398: 0.009574273567103275
Position 2018: 0.00935487049744437
Position 416: 0.007050550211648516
Position 3565: 0.006754663836934945
Position 4260: 0.00514389020047777
Position 2382: 0.004853654576388325
Position 161: 0.004674115413826557
Position 406: 0.0030916632480747813
Position 3101: 0.0030871831457634524
Position 225: 0.0029689391291721655
Position 944: 0.0029380017589906763
Position 3729: 0.002917145526914037
Position 223: 0.0025213956028649386
Position 5061: 0.002206905480191962
Position 4135: 0.002157339177641663
Position 3578: 0.001753874875573763
Position 4424: 0.001397879683873116
Position 3752: 0.0012273860622395755
Position 229: 0.0011700308461631424
Position 446: 0.0009295137073210096
Position 701: 0.0008791783742179124
Position 5043: 0.0008541710480659244
Position 4588: 0.0006023465295579522
Position 173: 0.0005053880866592258
Position 436: 0.0004933962073184605
Position 1365: 0.000479756184749175
Position 155: 0.0003918883258765841
Position 349: 0.00029277248785975667
Position 31: 0.00026550569696523447
Position 170: 0.00025880546961637544
Position 579: 0.0002473001667904069
Position 1859: 0.00023340179398075365
Position 194: 0.00022380807830335778
Position 4: 0.00020580283114062292
Position 3718: 0.00018821854169014663
Position 276: 0.0001831312205801022
Position 3000: 0.0001802359356778023
Position 438: 0.00010022394372744956
Position 1634: 9.902620853915899e-05
Position 184: 8.58140866806776e-05
Position 1626: 8.568253564231899e-05
Position 941: 6.840171287523101e-05
Position 205: 6.0431615964133104e-05
Position 1781: 4.835820638112752e-05
Position 233: 4.705294403285201e-05
Position 1442: 4.291240221831398e-05
Position 1329: 3.882144530691083e-05
Position 698: 3.810083448184783e-05
Position 138: 3.771729131967328e-05
Position 1816: 3.364374700003265e-05
Position 236: 3.255682283230062e-05
Position 389: 2.848668323236624e-05
Position 631: 2.8170179085039763e-05
Position 851: 1.7788184867590965e-05
Position 1125: 1.1679218433002662e-05
