Gene = Exo70
index = 1159
Annotated 5SS: [ 158  377  959 2432 3225 3607 3810]
Annotated 3SS: [ 210  446 2366 2493 3283 3675 3864]
SMsplice 5SS: [ 158  377  959 2432 3225 3607 3810]
SMsplice 3SS: [ 210  446 2366 2493 3283 3675 3864]
top_k =  1000
Partition function (log Z): 19.23980805495219

Sorted 5' Splice Sites (High to Low Probability):
Position 3225: 0.9978855445369242
Position 3810: 0.9951763720396577
Position 959: 0.9931905238789009
Position 158: 0.9864647858560261
Position 377: 0.9732588506858424
Position 3607: 0.9391935942029359
Position 2432: 0.8771371475520765
Position 3611: 0.05475622749369738
Position 3076: 0.025784179898968383
Position 1682: 0.016225628659159892
Position 2668: 0.01225292602969964
Position 2638: 0.010611639392608946
Position 1314: 0.010201817795302673
Position 2729: 0.009672304396464507
Position 687: 0.004403897252046035
Position 3565: 0.003413033990800691
Position 1132: 0.0028369953648616835
Position 1878: 0.0025555294639091194
Position 1461: 0.0025289088681068263
Position 3014: 0.0024267399428343174
Position 2123: 0.002043280587069183
Position 20: 0.001775128388042092
Position 2864: 0.001600811068045694
Position 3816: 0.0015111512787519083
Position 1849: 0.0015000366674565186
Position 3584: 0.0014883577604557366
Position 963: 0.0013601002076301756
Position 2463: 0.001314662719778879
Position 1976: 0.0012985209832788768
Position 645: 0.0011759658959975803
Position 2930: 0.0010530930118536458
Position 25: 0.0008270786956067997
Position 2645: 0.0007583656931630675
Position 2765: 0.0006314664209246089
Position 2177: 0.0005827942659137901
Position 3324: 0.0005031757320965261
Position 675: 0.0004233805936656804
Position 939: 0.00040919759950596004
Position 725: 0.00038456732688264567
Position 3761: 0.0003602923999960466
Position 2650: 0.0003358674888906936
Position 1329: 0.0003248387987148362
Position 2071: 0.0002925129180113562
Position 1686: 0.00028454761197806323
Position 1024: 0.0002701792224425893
Position 3586: 0.00026762869638592896
Position 3393: 0.0002525514182005781
Position 3029: 0.0002457897596675881
Position 3: 0.00024298473926621212
Position 70: 0.00023733115486681332
Position 2248: 0.00023588392267841457
Position 730: 0.000229329365622946
Position 3091: 0.00020536119784153646
Position 835: 0.00016606413232132228
Position 2768: 0.00016191754366850917
Position 1812: 0.0001556570457169929
Position 509: 0.00015547813448412438
Position 5: 0.0001477553743853447
Position 1689: 0.00012991176997529627
Position 3333: 0.00012868802103659677
Position 990: 0.0001128411854427113
Position 3047: 9.627329232540481e-05
Position 1980: 9.118399934695898e-05
Position 623: 8.055138455890875e-05
Position 1430: 7.92635646511884e-05
Position 2984: 7.561067033498468e-05
Position 1363: 7.027447442984603e-05
Position 3825: 6.97362194160399e-05
Position 1860: 6.209574975897442e-05
Position 1606: 5.840352292378754e-05
Position 3444: 5.6489872032194726e-05
Position 1996: 5.489604879471211e-05
Position 1779: 5.04459701753234e-05
Position 554: 4.219777294902879e-05
Position 2955: 4.0819456388198714e-05
Position 2191: 3.876343018975068e-05
Position 708: 3.4535759851640315e-05
Position 2457: 3.388553536036607e-05
Position 1934: 3.286675281482417e-05
Position 2920: 3.080093892122401e-05
