Gene = TfIIEbeta
index = 1554
Annotated 5SS: [174 351 589 940]
Annotated 3SS: [245 425 648 995]
SMsplice 5SS: [174 351 599 940]
SMsplice 3SS: [245 425 648 995]
top_k =  1000
Partition function (log Z): 4.5524674605098125

Sorted 5' Splice Sites (High to Low Probability):
Position 351: 0.9960966491563555
Position 174: 0.9413157135479908
Position 940: 0.7817009039970245
Position 599: 0.5237217685304649
Position 589: 0.4616972293872592
Position 844: 0.06217489224751796
Position 880: 0.010706992029410054
Position 620: 0.0033610403436788567
Position 1237: 0.002826901404124145
Position 580: 0.0012498022461645344
Position 877: 0.0010367027886096513
Position 603: 0.0007806218478851189
Position 711: 0.0004241125958895728
Position 42: 0.00038364182595002555
Position 178: 0.0003441851781215634
Position 1250: 0.0003373732545539732
Position 1206: 0.00029486242383308214
Position 944: 0.0002815175720859508
Position 685: 0.00024384964833346754
Position 355: 6.788552911391984e-05
Position 610: 6.764542231546105e-05
Position 388: 6.619057738381844e-05
Position 31: 5.0803888487477e-05
Position 761: 3.311746319915848e-05
Position 5: 2.6757147911433815e-05
Position 1239: 2.5183057909511868e-05
Position 716: 1.502141244938655e-05
Position 49: 1.415573378056018e-05
Position 70: 1.0392562531972434e-05
Position 1035: 8.80092666484824e-06
Position 814: 4.653528918096357e-06
Position 481: 3.564056085359101e-06
Position 453: 3.4160571117101602e-06
Position 1067: 3.4145196862559866e-06
Position 189: 3.0579771241579045e-06
Position 727: 1.7939550243481604e-06
Position 446: 5.454521046257291e-07
Position 701: 3.631223187513763e-07
Position 400: 2.907805181511079e-07
Position 80: 2.683812490333008e-07
Position 996: 2.240136289510763e-07
Position 500: 1.9321431298605513e-07
Position 1160: 1.927931351167574e-07
Position 438: 1.080631672535155e-07
Position 466: 6.761495955486956e-08
Position 1197: 6.536666853816604e-08
Position 613: 3.0045588239871655e-08
Position 247: 2.9256584750167105e-08
Position 258: 1.8497333269059824e-08
Position 695: 3.0583708941092096e-09
Position 648: 1.0760261234019137e-10
Position 984: 9.170683766850363e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 425: 0.9785700447579254
Position 648: 0.9781281953180314
Position 245: 0.927424552170471
Position 995: 0.8400998906960859
Position 972: 0.017639113191127914
Position 446: 0.010525461844178467
Position 272: 0.008206680062031733
Position 684: 0.005613063195652525
Position 923: 0.004634947720865638
Position 659: 0.0044316478547529
Position 1303: 0.0034280244303727873
Position 507: 0.0027039276455681086
Position 305: 0.0020910755335139765
Position 258: 0.0011971307589913425
Position 453: 0.0008942067949832151
Position 786: 0.0006833522783354857
Position 255: 0.0006492528597699623
Position 432: 0.0005997914619376438
Position 293: 0.0005733909550809685
Position 121: 0.00034432506359237
Position 1100: 0.00018983872350441256
Position 277: 0.00011358941812969039
Position 900: 9.225439306206686e-05
Position 903: 6.68313013481745e-05
Position 477: 6.362770043972348e-05
Position 335: 6.060769009448985e-05
Position 771: 4.7045085914168135e-05
Position 83: 4.232169228398438e-05
Position 1267: 3.754480333960141e-05
Position 264: 3.017359496057889e-05
Position 711: 2.5191799054847595e-05
Position 1013: 2.341714056551895e-05
Position 716: 2.225984482863694e-05
Position 66: 1.9322828796748447e-05
Position 1253: 1.5890207038215902e-05
Position 1058: 1.1939083482338101e-05
Position 1016: 1.133975861281611e-05
Position 466: 9.049495553291567e-06
Position 884: 8.351315959510364e-06
Position 1260: 7.623254939896412e-06
Position 695: 6.292928371729448e-06
Position 63: 6.065774235688709e-06
Position 1258: 5.911914817226736e-06
Position 727: 4.311660306599111e-06
Position 735: 4.0753802582305905e-06
Position 1139: 3.416076924681404e-06
Position 1130: 3.3818385464586216e-06
Position 819: 3.231100333194005e-06
Position 723: 3.1741106929202514e-06
Position 1007: 2.682507635461116e-06
Position 540: 1.701192237084201e-06
Position 843: 9.455581205334545e-07
Position 585: 8.853015191531531e-07
Position 1136: 8.51773396201055e-07
Position 1082: 7.695455697421477e-07
Position 741: 6.363536666307863e-07
Position 1079: 4.869068869618647e-07
Position 691: 4.717002871734267e-07
Position 593: 2.358084455899131e-07
Position 382: 2.348863399823708e-07
Position 561: 2.3238966910927553e-07
Position 153: 2.2342836178651633e-07
Position 619: 8.72227483120982e-08
Position 1235: 8.408107355658607e-08
Position 663: 8.057229045692034e-08
Position 1115: 7.746639122793661e-08
Position 206: 6.885530064842635e-08
Position 1119: 5.9141204875453535e-08
Position 1154: 2.559374248899267e-08
Position 364: 8.148248377851201e-09
Position 141: 7.763699797611365e-09
Position 355: 1.5417419647095987e-09
Position 70: 7.078015956001251e-10
Position 599: 6.031016938625288e-10
Position 552: 7.460028926544178e-11
Position 178: 5.5724964107616946e-11
Position 610: 5.3864278958580535e-12
Position 85: 5.3409727375828376e-12
Position 366: 1.9338999711614724e-21
