Gene = flr
index = 1702
Annotated 5SS: [ 133  596 1306 1758 2878 3085]
Annotated 3SS: [ 473 1214 1493 1822 2933 3151]
SMsplice 5SS: [ 133  596 1306 1758 2878 3085]
SMsplice 3SS: [ 473 1214 1493 1822 2933 3151]
top_k =  1000
Partition function (log Z): 12.663899356784196

Sorted 5' Splice Sites (High to Low Probability):
Position 1758: 0.999792315282317
Position 3085: 0.9906479471709637
Position 596: 0.9812365822847808
Position 1306: 0.9680403372103814
Position 133: 0.8329973075255713
Position 2878: 0.7135173326295121
Position 231: 0.12324463757981237
Position 941: 0.09058958091020326
Position 314: 0.03226007819467096
Position 3238: 0.021866737380698168
Position 890: 0.01492611815198561
Position 2444: 0.0075402590271838234
Position 2848: 0.007134993825192904
Position 122: 0.005682844746953032
Position 1999: 0.00522872911670186
Position 1005: 0.0035963692041067826
Position 1053: 0.0035953502066431056
Position 2871: 0.003551233548939825
Position 2131: 0.0031884989280401527
Position 1070: 0.0030373113536758603
Position 2524: 0.002772827016272786
Position 1424: 0.0022509008245041296
Position 262: 0.0017593117796582084
Position 424: 0.0017079592059911584
Position 1974: 0.0015131580436956238
Position 415: 0.0013917175441179274
Position 2649: 0.0012144307262163968
Position 707: 0.0010214827270148604
Position 665: 0.0010172386841890736
Position 190: 0.0009721537996335754
Position 3106: 0.0008218909723879395
Position 3089: 0.0007714839237907318
Position 197: 0.0006608289821991957
Position 1394: 0.0006028091673842498
Position 1303: 0.0004388202443889183
Position 703: 0.0003988547564561988
Position 2817: 0.00039547081619381987
Position 911: 0.0003534039655277919
Position 2863: 0.00035046010837326184
Position 1966: 0.0003478812218079038
Position 2139: 0.0003341247392837942
Position 3047: 0.0003257187272068784
Position 3180: 0.000313937604665915
Position 884: 0.0002898186017385476
Position 1149: 0.00028121880247529375
Position 1310: 0.0002627240506034561
Position 3103: 0.000260394263716811
Position 2521: 0.00023085534940993002
Position 913: 0.00022867506396814132
Position 1116: 0.0001865004981568489
Position 2546: 0.00017667228131751974
Position 2339: 0.0001736098197500959
Position 65: 0.0001686873759745549
Position 2851: 0.0001655932829649131
Position 2272: 0.0001320752827909448
Position 2487: 0.00010343885620998202
Position 1370: 9.676576073800514e-05
Position 964: 9.332293008784654e-05
Position 358: 9.063738624902749e-05
Position 1751: 8.791237713246359e-05
Position 2173: 8.77456905141443e-05
Position 1912: 8.459741049075767e-05
Position 3554: 8.344144903025302e-05
Position 3347: 8.173088026793235e-05
Position 2824: 7.413070282521842e-05
Position 2356: 7.252108258394013e-05
Position 2494: 6.75193631822512e-05
