Gene = Tehao
index = 1550
Annotated 5SS: [1173]
Annotated 3SS: [2300]
SMsplice 5SS: [1408]
SMsplice 3SS: [1469]
top_k =  1000
Partition function (log Z): -13.3505574803543

Sorted 5' Splice Sites (High to Low Probability):
Position 1173: 0.5441740796417286
Position 265: 0.2256590964667706
Position 2701: 0.13978139438206988
Position 779: 0.06495267274038005
Position 2104: 0.04574953130988956
Position 1626: 0.04247320568963081
Position 1484: 0.03793362302952924
Position 307: 0.02816891389965199
Position 2641: 0.025621512630469908
Position 739: 0.02415947107122197
Position 514: 0.019575370829574893
Position 3657: 0.01731560691277544
Position 1412: 0.01730239224212094
Position 2551: 0.011393927612129175
Position 145: 0.00966039268210303
Position 288: 0.008907184169362611
Position 3778: 0.00771991742279607
Position 1048: 0.006047518896311627
Position 110: 0.0041943571278424425
Position 3021: 0.0032612818626964377
Position 327: 0.0025624385164125588
Position 330: 0.002531810897524864
Position 172: 0.0024329416505076895
Position 3301: 0.002221007964973494
Position 2392: 0.0018946906010763012
Position 1286: 0.0018286407217482784
Position 1587: 0.0016758529095956339
Position 1255: 0.0015544437798158304
Position 115: 0.0012604483590871968
Position 941: 0.0010881066081561272
Position 3046: 0.0010845962804466509
Position 1577: 0.0009733688906172977
Position 919: 0.0009130586429387114
Position 3147: 0.0006806060546261748
Position 1369: 0.0004941648423734419
Position 1028: 0.00048631923518025486
Position 414: 0.00041588877975266245
Position 1462: 0.0004099563702571053
Position 129: 0.00039398420656123356
Position 262: 0.00037969955988278445
Position 1417: 0.00025174019860724575
Position 435: 0.00022950011293927983
Position 494: 0.00018413251877088412
Position 1527: 0.00017605975001461614
Position 269: 0.00014034817278714445
Position 37: 7.927297636898033e-05
Position 668: 6.367629099586677e-05
Position 475: 6.005022028409712e-05
Position 224: 5.823542309272594e-05
Position 2115: 5.310138854502722e-05
Position 394: 4.865330154690493e-05
Position 405: 4.133803693371221e-05
Position 978: 3.7087253575769634e-05
Position 53: 3.640641607776007e-05
Position 946: 3.120364645597741e-05
Position 706: 2.9009990507844246e-05
Position 759: 2.5209424367695693e-05
Position 466: 1.721442445483656e-05
Position 464: 1.6560900386316117e-05
Position 700: 1.4006809414705934e-05
Position 836: 1.363037972515774e-05
Position 773: 1.3118539418452475e-05
Position 1453: 1.1771820484074435e-05
Position 1425: 1.0853785387762364e-05
Position 386: 1.0053293325291977e-05
Position 1524: 8.75806016162849e-06
Position 896: 8.225677101191015e-06
Position 618: 7.877861493971844e-06
Position 930: 6.645968053932507e-06
Position 1177: 6.347876168657294e-06
Position 1756: 5.33010888440801e-06
Position 218: 4.535083701983676e-06
Position 624: 4.192557786054793e-06
Position 150: 3.65289467225255e-06
Position 596: 3.6086112201729892e-06
Position 148: 3.4825464861136693e-06
Position 855: 3.393509650019464e-06
Position 1451: 2.9193713755464087e-06
Position 944: 2.460104746709987e-06
Position 278: 2.4071275636072887e-06
Position 1193: 2.0719533477139404e-06
Position 245: 1.926975463432195e-06
Position 21: 1.7671609936772264e-06
Position 230: 1.7369582604734146e-06
Position 1264: 1.6637750579523586e-06
Position 786: 1.6104924412036698e-06
Position 237: 1.325222414902364e-06
Position 363: 1.1031998057302878e-06
Position 960: 9.927129799050435e-07
Position 637: 6.854757794525743e-07
Position 601: 4.072196986109068e-07
