Gene = Sgs3
index = 1497
Annotated 5SS: [42]
Annotated 3SS: [114]
SMsplice 5SS: [42]
SMsplice 3SS: [114]
top_k =  1000
Partition function (log Z): -7.155298592570825

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9952695477993754
Position 46: 0.0027865847490878724
Position 71: 0.0017876286609612446
Position 250: 0.00030915986057977453
Position 5: 0.00013297596022195736
Position 190: 1.0130136762832177e-05
Position 199: 5.652735914794301e-06
Position 1001: 9.002577296516221e-07
Position 154: 7.27914745851008e-07
Position 163: 6.229254862021136e-07
Position 338: 5.637442888678294e-07
Position 64: 4.809047348068841e-07
Position 1080: 3.0032096539292094e-07
Position 458: 2.5997128873288137e-07
Position 988: 2.3898645939561443e-07
Position 1025: 2.2484362586337382e-07
Position 1014: 1.5427108256376602e-07
Position 215: 1.2325060131294046e-07
Position 1052: 1.2286658899628185e-07
Position 98: 9.431778620776185e-08
Position 945: 6.452741330758495e-08
Position 503: 4.963467185146961e-08
Position 907: 4.768977812704691e-08
Position 860: 4.734362118028036e-08
Position 865: 3.582241064036486e-08
Position 1007: 3.140436086711183e-08
Position 1040: 2.6402018811787704e-08
Position 1115: 2.338348130549357e-08
Position 926: 4.084667630246574e-09
Position 981: 3.5034493509444456e-09
Position 880: 1.479132073132082e-15
Position 144: 6.475262731839101e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.9992085665457143
Position 317: 0.00038910268849513585
Position 857: 0.0001250147313200906
Position 542: 7.288646299756168e-05
Position 437: 6.890983273034541e-05
Position 482: 6.449565114166396e-05
Position 527: 4.382810730021874e-05
Position 407: 4.1703776193992154e-05
Position 812: 3.230430696118731e-05
Position 362: 2.8733499222079746e-05
Position 587: 2.6007286660201595e-05
Position 393: 2.144356341492608e-05
Position 752: 1.9533093311050585e-05
Position 302: 1.94137936457419e-05
Position 647: 1.579945119000939e-05
Position 782: 1.5458900122806478e-05
Position 722: 1.4524061880193501e-05
Position 677: 1.4101571128457239e-05
Position 872: 1.1651366441128813e-05
Position 572: 9.275137756630672e-06
Position 422: 5.316357801304189e-06
Position 557: 5.165051597845356e-06
Position 377: 5.0527452642270165e-06
Position 617: 4.423664185807132e-06
Position 797: 4.365165108016125e-06
Position 602: 4.285205414384156e-06
Position 1163: 3.675747182510159e-06
Position 827: 3.667296224750922e-06
Position 1012: 3.3938543172496253e-06
Position 767: 3.213277840720951e-06
Position 842: 3.176696080973497e-06
Position 737: 2.834446900937993e-06
Position 662: 2.5999229696644877e-06
Position 707: 2.3846695499952063e-06
Position 932: 1.9169832429770686e-06
Position 632: 1.7536136429503017e-06
Position 692: 1.3316944255747312e-06
Position 1148: 1.2300133170790862e-06
Position 914: 1.2262214169074018e-06
Position 1167: 7.47433743685732e-07
Position 118: 6.923791323740734e-07
Position 874: 6.00358458177302e-07
Position 888: 5.747319698517425e-07
Position 968: 3.259816950190969e-07
Position 962: 7.309153246246247e-08
Position 1020: 4.3464011735662546e-08
Position 79: 4.379507920636378e-09
