Gene = ref(2)P
index = 1855
Annotated 5SS: [ 521 2634]
Annotated 3SS: [1151 2688]
SMsplice 5SS: [ 521 2634]
SMsplice 3SS: [1151 2688]
top_k =  1000
Partition function (log Z): -3.524619477879787

Sorted 5' Splice Sites (High to Low Probability):
Position 2634: 0.9975314549093033
Position 521: 0.8635660104708813
Position 1402: 0.09535561877156483
Position 1847: 0.08270460251685025
Position 502: 0.06555404827002609
Position 2805: 0.049793928533789625
Position 263: 0.038529496079009976
Position 2814: 0.023891326258866717
Position 624: 0.016552179912353932
Position 1503: 0.012583998114174284
Position 980: 0.0064095861227244574
Position 1075: 0.005493862010814467
Position 2534: 0.004610328829639457
Position 318: 0.0030964534985960706
Position 840: 0.002956559155393574
Position 2867: 0.002812480209533555
Position 549: 0.0025229453355309892
Position 1032: 0.002422935630967737
Position 82: 0.0020784100469764324
Position 2771: 0.00185646280337635
Position 142: 0.0016936998077171004
Position 282: 0.0013848870502050103
Position 2376: 0.0013357370205936306
Position 821: 0.0011088504982191849
Position 630: 0.0007778755379821107
Position 555: 0.000633888852944411
Position 2775: 0.0006127247907126565
Position 1046: 0.0005919432384382868
Position 1886: 0.0005715264539781199
Position 1287: 0.0002861860397341874
Position 1922: 0.00028552469584489017
Position 1963: 0.0002846561576562405
Position 1238: 0.00025795510356576553
Position 1675: 0.0002520491960837453
Position 1508: 0.00023858291483629302
Position 1527: 0.00023265216375473695
Position 2146: 0.00019301413762075234
Position 691: 0.00018788070519016624
Position 761: 0.00018256972434796704
Position 575: 0.00018046076588965082
Position 1519: 0.00017637825098706372
Position 210: 0.0001721307761052091
Position 1057: 0.00013264640919653158
Position 174: 0.00010125401481046063
Position 848: 7.900308375909234e-05
Position 1863: 7.137048110136e-05
Position 975: 7.102360353188032e-05
Position 133: 6.705608714017466e-05
Position 617: 6.395936299961903e-05
Position 795: 5.34809728805217e-05
Position 1023: 5.023933788448711e-05
Position 1390: 4.8044678070575996e-05
Position 240: 4.398914900564152e-05
Position 449: 4.311982223393088e-05
Position 851: 4.118619672463075e-05
Position 213: 4.030872186192694e-05
Position 1770: 3.9521841530018185e-05
Position 871: 3.38007982654455e-05
Position 986: 2.8136357689864344e-05
Position 725: 2.7345938570639482e-05
Position 992: 2.5934035116530058e-05
Position 1178: 2.151827553574039e-05
Position 1213: 2.1118999572762838e-05
Position 465: 1.8372693579647636e-05
Position 660: 1.7332246124072172e-05
Position 60: 1.5026710833083535e-05
Position 696: 1.1234817155771932e-05
Position 2638: 8.702730598941934e-06
Position 638: 7.9509502933977e-06
Position 525: 6.721417877150066e-06
Position 2981: 6.345346950152067e-06
Position 322: 6.246602311156717e-06
Position 2615: 4.793517245043156e-06
Position 2429: 2.191947089464934e-06
Position 1256: 2.096238606182151e-06
Position 2950: 1.2079995866304696e-06
Position 1352: 1.1499190736103078e-06
Position 2229: 9.583841155770584e-07
Position 2966: 8.073088082029555e-07
Position 486: 5.400785895344673e-07
Position 1026: 4.710813506994273e-07
Position 2997: 4.379865534143768e-07
Position 363: 3.3525708906879726e-07
Position 2931: 2.577416478278742e-07
Position 2947: 1.9581835412332694e-07
Position 1899: 1.7998689673173967e-07
Position 2916: 1.320690729725653e-07
Position 669: 1.1656045541334287e-07
Position 797: 1.1541777959062146e-07
Position 596: 8.081272566712934e-08
Position 2665: 2.5164305049662565e-08
Position 2106: 1.810249878348199e-08
Position 2040: 7.978072177623979e-09
Position 340: 6.099451536928089e-09
Position 984: 8.862840177468735e-12
Position 2731: 4.986223263916524e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2688: 0.9755926488952211
Position 1151: 0.6373339228437475
Position 1948: 0.12231738709991186
Position 2422: 0.08696143205444619
Position 1013: 0.07607243821777172
Position 2885: 0.07325060585093053
Position 2001: 0.02887873907680472
Position 318: 0.02873942370206625
Position 1582: 0.027721319566897155
Position 2446: 0.02216634730361734
Position 2376: 0.021552954964511203
Position 2737: 0.021004198254261187
Position 1909: 0.016420030427080245
Position 1237: 0.016200365608493285
Position 1526: 0.015736703529981695
Position 2248: 0.011948097781788703
Position 334: 0.011353139490257716
Position 1435: 0.00942689978516948
Position 711: 0.00840779510771781
Position 2017: 0.008178230870961886
Position 1922: 0.007303587927856435
Position 575: 0.006944614812495937
Position 2922: 0.005661343265949918
Position 1198: 0.004763712943661333
Position 2206: 0.004703098403342392
Position 1178: 0.004637842964472144
Position 381: 0.004033018932119456
Position 2076: 0.0030929672142395595
Position 1049: 0.002318804289585018
Position 2591: 0.0021766656128770646
Position 2594: 0.0018551675014498981
Position 1585: 0.001802902287327552
Position 1532: 0.0015790200817325844
Position 809: 0.001570164867042367
Position 1213: 0.001541380598256486
Position 2254: 0.0015375408433995876
Position 2275: 0.0014347503147981685
Position 669: 0.0013666855999828944
Position 2467: 0.0013029413843690524
Position 2300: 0.0011523329406412889
Position 1456: 0.0011398861165742527
Position 2574: 0.0011027674849884443
Position 980: 0.0010229402943090747
Position 2822: 0.0006722144171553697
Position 2515: 0.0006499019365749189
Position 1066: 0.0006206118762399061
Position 745: 0.0005777321718900069
Position 1741: 0.000563986637988824
Position 2035: 0.0005480450425438498
Position 604: 0.0005255450821250182
Position 2425: 0.0004618639410905874
Position 691: 0.0003563689827765275
Position 1259: 0.0003520342497207672
Position 2900: 0.0003482795542295165
Position 2934: 0.00033297394437415236
Position 1781: 0.00033155475474356015
Position 3061: 0.0002730929192787117
Position 1675: 0.0002481769873289599
Position 1872: 0.0002390391664226515
Position 1402: 0.00020417141006325967
Position 683: 0.00020361356978566456
Position 1163: 0.00019538731542724486
Position 1807: 0.00017562221680311477
Position 547: 0.00017366169538909492
Position 165: 0.00016365428749611361
Position 863: 0.00015315132109345093
Position 742: 0.00012941942284508805
Position 1811: 0.00012420798891671608
Position 2695: 0.0001175524262812234
Position 2182: 0.00011487870533919382
Position 1846: 0.00011198711530981554
Position 2956: 0.00011041810736065036
Position 2939: 9.236688720107667e-05
Position 1416: 8.661327792773384e-05
Position 477: 7.509400167234053e-05
Position 360: 5.9625125264511e-05
Position 757: 5.103080936117066e-05
Position 1863: 4.947944244308145e-05
Position 2990: 3.856986808700456e-05
Position 126: 3.396279034042221e-05
Position 2969: 3.110203324459733e-05
Position 1563: 2.7381929254985854e-05
Position 1307: 2.5834457969418184e-05
Position 3069: 2.5445208732205383e-05
Position 666: 2.3498595982492765e-05
Position 2762: 2.2480243660939083e-05
Position 1219: 1.7871187636786085e-05
Position 1075: 1.7587442976995762e-05
Position 1594: 1.7319326366528795e-05
Position 1270: 1.6216922200404496e-05
Position 432: 1.613590048766495e-05
Position 2769: 1.47056042472056e-05
Position 142: 1.362446682138231e-05
Position 630: 6.796161824777764e-06
Position 213: 6.224699696705793e-06
Position 2793: 5.793739037817858e-06
Position 234: 3.931238010114079e-06
Position 133: 3.913614864798198e-06
Position 210: 3.2629990617696813e-06
Position 396: 2.8072767811353467e-06
Position 2744: 1.980799759572305e-06
Position 116: 1.854904984887935e-06
Position 263: 1.0602118052112832e-06
Position 402: 1.0163551577816475e-06
Position 2258: 5.769693239148478e-07
Position 480: 3.303160326584217e-07
Position 506: 2.0554158676193224e-07
Position 486: 1.0899328179729199e-07
Position 286: 9.837611419415305e-08
Position 462: 5.766409970207338e-08
Position 280: 4.408716746506739e-08
Position 357: 4.03763911691697e-09
Position 596: 4.785090050119779e-10
Position 525: 1.7324250928803443e-10
Position 549: 4.662282424553149e-12
Position 761: 4.092410963524161e-12
Position 272: 8.76928654980676e-13
Position 218: 9.569084391013173e-15
Position 220: 3.263486670855285e-17
