Gene = ND-13A
index = 1295
Annotated 5SS: [279 552]
Annotated 3SS: [374 614]
SMsplice 5SS: [279 552]
SMsplice 3SS: [374 614]
top_k =  1000
Partition function (log Z): 0.9559250937225915

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.9837715611560136
Position 552: 0.9662343871352538
Position 140: 0.09448077284419147
Position 25: 0.024616799203749262
Position 261: 0.01183180520775479
Position 557: 0.006216532289502342
Position 539: 0.0057931191208170415
Position 537: 0.001785654882444614
Position 31: 0.0015192627961797813
Position 137: 0.001098420279504138
Position 99: 0.0010719830704060658
Position 697: 0.0008429685967970649
Position 465: 0.0008230169240241913
Position 526: 0.0006071135833185094
Position 517: 0.0005504498582514797
Position 61: 0.0005087565965269696
Position 108: 0.00045179468055110103
Position 425: 0.0004312787835741082
Position 165: 0.00034254532764771233
Position 297: 0.0002660430651981509
Position 91: 0.0002471161339887
Position 125: 0.00021022804894890314
Position 869: 0.00015408789708445825
Position 50: 0.00013447239878704878
Position 735: 0.00013038839900093318
Position 79: 0.0001257582606298045
Position 1037: 2.0376739674432245e-05
Position 9: 1.6226677564010063e-05
Position 407: 1.4042433838448846e-05
Position 225: 9.180230108060641e-06
Position 101: 6.586374434578842e-06
Position 803: 5.913875838980611e-06
Position 492: 4.141907069834827e-06
Position 930: 3.488262477923224e-06
Position 11: 2.8168614455722414e-06
Position 479: 2.7930250532093674e-06
Position 660: 1.713527984685976e-06
Position 342: 1.519573812124344e-06
Position 106: 1.4010113002543944e-06
Position 907: 1.3725119404953727e-06
Position 495: 8.567876841496295e-07
Position 990: 7.454185125401973e-07
Position 909: 5.513641816206163e-07
Position 995: 4.4426625884481687e-07
Position 943: 4.0805182415037985e-07
Position 956: 2.808376585284803e-07
Position 941: 2.5706897779489114e-07
Position 1022: 2.080769134221203e-07
Position 429: 2.0308547881887427e-07
Position 411: 2.6110157549462018e-08
Position 333: 2.022511953949941e-08
Position 209: 9.749029639189162e-09
Position 176: 6.568880032269847e-09
Position 377: 4.513725473023417e-09
Position 375: 2.1552237141328434e-09
Position 1041: 1.2741733315588069e-09
Position 602: 1.1692097552233878e-12
Position 607: 9.838927858791424e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 374: 0.9985733145131291
Position 614: 0.9819505207090347
Position 200: 0.11996086570953995
Position 774: 0.0008365713797886399
Position 97: 0.0007602428868653256
Position 952: 0.0005516047672246115
Position 154: 0.0002117786881221094
Position 386: 0.0001980686466752744
Position 800: 0.0001929634205853925
Position 840: 0.0001651799631355915
Position 389: 0.00012764055802394277
Position 112: 0.00012119521000933813
Position 83: 0.00011828552509777305
Position 91: 0.00010848308853741278
Position 238: 9.915707614404132e-05
Position 223: 6.605133746623811e-05
Position 422: 4.742447364822772e-05
Position 158: 4.120294549938089e-05
Position 995: 3.50714534599248e-05
Position 869: 3.436886234255192e-05
Position 1106: 2.3270288275427193e-05
Position 744: 2.1654315628967247e-05
Position 990: 2.1208780516394356e-05
Position 786: 1.922790483222885e-05
Position 982: 1.1581290578724407e-05
Position 537: 1.0499782673706631e-05
Position 70: 7.98952160327705e-06
Position 707: 5.03057675569382e-06
Position 803: 4.059097797476324e-06
Position 452: 3.1171473240455157e-06
Position 65: 2.1336524358913496e-06
Position 54: 1.8748423643529779e-06
Position 476: 1.8445545056620997e-06
Position 574: 1.4474859359862142e-06
Position 1065: 1.3535214974245753e-06
Position 1068: 1.2061792920983395e-06
Position 665: 1.0616906020936394e-06
Position 437: 9.898099548726355e-07
Position 956: 8.243901213897611e-07
Position 669: 6.345468837559901e-07
Position 847: 2.6217553160505165e-07
Position 714: 1.8789699917344866e-07
Position 697: 1.6571702268496098e-07
Position 479: 1.2086015841290172e-07
Position 260: 6.857721004624539e-08
Position 687: 4.8177133339599584e-08
Position 1072: 2.3267509188157165e-08
Position 1041: 1.8955535689038927e-08
Position 464: 1.3428001791715919e-08
Position 492: 4.04717720476691e-09
Position 461: 9.333948184945925e-10
Position 257: 4.190539746834751e-10
Position 279: 4.7227488107370724e-11
Position 576: 1.2500029364708938e-11
Position 283: 2.75380701033187e-13
Position 285: 1.6234045838403118e-15
