Gene = shd
index = 1871
Annotated 5SS: [ 473 5270 6055 6298 6595 6939]
Annotated 3SS: [4974 5459 6119 6354 6722 7014]
SMsplice 5SS: [ 473 4333 5270 6055 6298 6595 6939]
SMsplice 3SS: [4124 4388 5459 6119 6354 6722 7014]
top_k =  1000
Partition function (log Z): 19.738689673299614

Sorted 5' Splice Sites (High to Low Probability):
Position 6595: 0.9995962689036575
Position 6939: 0.9992702661429095
Position 6298: 0.9905407927574769
Position 473: 0.9749938051593902
Position 4333: 0.9371007684868623
Position 5270: 0.8918997752187372
Position 6055: 0.5659028397419845
Position 6059: 0.320262045528939
Position 2549: 0.13408606001181414
Position 5260: 0.09375730243890848
Position 7181: 0.07035611767314096
Position 6070: 0.06263166524848539
Position 4055: 0.04661163317146038
Position 108: 0.04052825152032295
Position 3672: 0.028615105908964402
Position 7386: 0.02294927271263849
Position 7391: 0.015312373695695198
Position 3441: 0.012869134195490392
Position 4080: 0.011457765706221118
Position 1186: 0.010953694700501516
Position 3676: 0.010063685174360817
Position 105: 0.009132254208342934
Position 4337: 0.008955231531852598
Position 5988: 0.008598926094537199
Position 3434: 0.007763705821409776
Position 3474: 0.007392333959109554
Position 5403: 0.0073549811866492785
Position 125: 0.007069016601603143
Position 5235: 0.005886390540465986
Position 5753: 0.005508663525864311
Position 2312: 0.00532871486997678
Position 2749: 0.005253476741539564
Position 7132: 0.005213999067870428
Position 816: 0.004071676598021002
Position 1211: 0.003907589614028946
Position 3051: 0.0036528526820569633
Position 2248: 0.003499543345955269
Position 3683: 0.003135881493007534
Position 6309: 0.0030970833689335396
Position 5552: 0.002846195746524899
Position 1230: 0.0028219852052436397
Position 2719: 0.0026246849292242825
Position 5560: 0.0026082021075458477
Position 2681: 0.002599400869846142
Position 2815: 0.0024903539175845334
Position 5393: 0.00238114335103066
Position 150: 0.001819470207133805
Position 477: 0.0016389714921822634
Position 7222: 0.001399536374349786
Position 4649: 0.001322687522545937
Position 312: 0.001278161170127686
Position 4950: 0.0012726501372181526
Position 5651: 0.0012146176108515164
Position 4599: 0.0011887317520352068
Position 3634: 0.0009421900857569104
Position 7403: 0.0009347492387819326
Position 7160: 0.0008384169181377091
Position 2329: 0.000813412537551075
Position 1825: 0.000768399870926497
Position 4984: 0.0007525016554011483
Position 6016: 0.000595298112865684
Position 7233: 0.0005798278160707601
Position 3829: 0.0005559815705847469
Position 82: 0.0004976109631166836
Position 5642: 0.0004775984736648086
Position 6258: 0.0004629087350239582
Position 7117: 0.0004598207046553027
Position 4670: 0.00041909908347853884
Position 5640: 0.0003813466684375857
Position 4503: 0.0003797138340542065
Position 2733: 0.00035652458260309114
Position 2802: 0.0003520701557200086
Position 7033: 0.0003269643427260513
Position 94: 0.0003263810229653896
Position 5407: 0.00029715869483201566
Position 205: 0.0002389475907942009
Position 5294: 0.0002295124498177273
Position 6302: 0.0002151212092279498
Position 4672: 0.00020730819492680187
Position 5285: 0.0002018847559201799
Position 5807: 0.00020093735204657523
Position 7097: 0.00018331359568720982
Position 2703: 0.00015641236823330244
Position 2848: 0.0001512373654084431
Position 470: 0.0001471304442108689
Position 6943: 0.00014307227567769755
Position 2928: 0.00013816060236271078
Position 808: 0.0001350313209958575
Position 5608: 0.00012834208752326515
Position 324: 0.00012505873231962933
Position 5416: 0.00011373575432313088
Position 5603: 0.00011320785967141689
Position 4760: 0.00010943774925448939
Position 1807: 0.00010435311631920926
Position 754: 0.00010328688370817683
Position 3570: 0.00010094046726683535
Position 937: 9.997070409232483e-05
Position 5869: 8.525675384016954e-05
Position 224: 8.10912723372059e-05
Position 141: 7.049368731834863e-05
Position 5982: 6.598345612168339e-05
Position 670: 5.426058304971221e-05
