Gene = msb1l
index = 1799
Annotated 5SS: [274]
Annotated 3SS: [338]
SMsplice 5SS: [274]
SMsplice 3SS: [338]
top_k =  1000
Partition function (log Z): -4.825463874026969

Sorted 5' Splice Sites (High to Low Probability):
Position 274: 0.9912591095028787
Position 498: 0.09381849058453252
Position 552: 0.01088937474221734
Position 293: 0.008255979765194512
Position 756: 0.005077267411999482
Position 1361: 0.0007034134560884718
Position 1002: 0.000514019463296312
Position 556: 0.00045121604632021426
Position 594: 0.00018334487030822365
Position 59: 0.00017007077441570659
Position 1317: 0.00016340398332625582
Position 424: 0.0001613808895780047
Position 1165: 7.993753522501889e-05
Position 125: 7.555760845228015e-05
Position 278: 6.723421263379784e-05
Position 1095: 5.775857833633476e-05
Position 1129: 5.451358065068635e-05
Position 486: 5.302604372980841e-05
Position 635: 3.594329891562561e-05
Position 502: 3.340993088058954e-05
Position 725: 2.8904713832348567e-05
Position 1088: 2.1818592298092022e-05
Position 394: 1.5028477894636122e-05
Position 1299: 1.1946917034429286e-05
Position 78: 1.0696032594009765e-05
Position 669: 7.3703954121556386e-06
Position 1139: 7.1940323598552155e-06
Position 1012: 6.346931859031066e-06
Position 796: 5.455121434865796e-06
Position 1170: 3.1067287438180577e-06
Position 975: 2.960014423154319e-06
Position 573: 1.7810541256229636e-06
Position 384: 1.4450874300545456e-06
Position 1336: 1.2392699076381831e-06
Position 1021: 9.88486760426727e-07
Position 1024: 8.341405975195826e-07
Position 66: 6.215996663466311e-07
Position 980: 2.82437653349083e-07
Position 822: 2.3052456994056125e-07
Position 1006: 7.017264103425221e-08
Position 318: 3.065666723647167e-08
Position 350: 1.1601013755984716e-09
Position 332: 1.1152380156304937e-09
Position 540: 8.583316233804664e-10
Position 335: 4.806636901037701e-10
Position 363: 3.277382718274182e-10
Position 338: 2.2741624085716243e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 338: 0.6236909266854812
Position 347: 0.35494281092820434
Position 550: 0.07042108455889166
Position 318: 0.015167220462257295
Position 1417: 0.011126359092259015
Position 716: 0.009052410108432076
Position 814: 0.004977981725820399
Position 1244: 0.0048819270424245624
Position 689: 0.0035837394232530965
Position 780: 0.0020274499750066576
Position 467: 0.0019980052199826876
Position 1165: 0.0016673010894308143
Position 731: 0.0016068975385451166
Position 603: 0.0012785683739516655
Position 922: 0.0009547488377667584
Position 566: 0.0009185666798639139
Position 665: 0.0005570620043451757
Position 1211: 0.00042824008088941293
Position 594: 0.00042436711332404225
Position 1151: 0.00025203911450897643
Position 371: 0.00016749624857623856
Position 1223: 0.00013507325700660012
Position 561: 0.00012054764149079618
Position 1220: 0.00011286789423853525
Position 785: 0.00010321985754065898
Position 931: 9.909446814659172e-05
Position 108: 9.904225012220201e-05
Position 1129: 9.85597149212565e-05
Position 374: 9.489124477511226e-05
Position 1281: 9.084506445661733e-05
Position 1175: 8.915629254674182e-05
Position 368: 8.562673991411333e-05
Position 377: 8.227891168690896e-05
Position 1312: 8.162892670744749e-05
Position 1361: 7.879984200574479e-05
Position 1229: 7.657041252058627e-05
Position 124: 5.954845015368831e-05
Position 860: 5.574440552271714e-05
Position 693: 4.085535374551246e-05
Position 394: 4.0626975204959145e-05
Position 755: 3.9696564286041546e-05
Position 962: 3.772270821317673e-05
Position 573: 3.291386148589195e-05
Position 173: 3.187321500319045e-05
Position 749: 3.097076587278958e-05
Position 1080: 2.7998053917883167e-05
Position 434: 2.7772284258579533e-05
Position 857: 2.763692485808324e-05
Position 1048: 2.6872646405809545e-05
Position 1019: 2.0002963542754003e-05
Position 1064: 1.9161558037182166e-05
Position 788: 1.9135311527963706e-05
Position 1181: 1.4114735878179898e-05
Position 734: 1.3649751388152828e-05
Position 965: 1.1828831063471756e-05
Position 619: 1.1658632298123501e-05
Position 497: 1.1482397863270862e-05
Position 934: 1.0677420704828484e-05
Position 1121: 9.963540083126177e-06
Position 959: 7.482105565479432e-06
Position 180: 7.4307254337072176e-06
Position 1040: 5.2225503960241614e-06
Position 605: 4.257929691876416e-06
Position 1082: 2.889715209498855e-06
Position 380: 2.3122277087231533e-06
Position 1317: 2.2567159354623583e-06
Position 1002: 1.5837025514645574e-06
Position 184: 1.2210756345054108e-06
Position 1291: 8.398579796423541e-07
Position 1320: 7.79981686819686e-07
Position 863: 5.175101093270708e-07
Position 998: 3.440733015640626e-07
Position 568: 3.313136870415858e-07
Position 285: 2.088459376470912e-08
Position 214: 3.303424833261243e-09
Position 103: 1.2652096213759142e-09
Position 746: 2.548722312704835e-10
Position 710: 2.0244685232591824e-10
Position 292: 6.188819533298051e-11
Position 278: 1.6230393219284426e-12
Position 216: 1.4050982007690945e-13
