Gene = NijB
index = 1319
Annotated 5SS: [256 513]
Annotated 3SS: [357 565]
SMsplice 5SS: [256]
SMsplice 3SS: [357]
top_k =  1000
Partition function (log Z): -1.9637289410806469

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9869673520849295
Position 513: 0.34393662969778177
Position 517: 0.325900596928556
Position 700: 0.10265517126383274
Position 264: 0.008436814496606555
Position 728: 0.006957412515983041
Position 459: 0.005258297055377862
Position 693: 0.003909289219672839
Position 437: 0.002197092933228106
Position 114: 0.0019989460832768526
Position 287: 0.0013621073785411658
Position 474: 0.00127527694242146
Position 246: 0.0007515095150533664
Position 302: 0.0006120372748555862
Position 644: 0.000591869184922574
Position 521: 0.00039769876271612625
Position 620: 0.0003006420281732858
Position 489: 0.0001646189303574516
Position 15: 0.0001185860456368034
Position 594: 4.853068533838326e-05
Position 163: 3.618647449009336e-05
Position 55: 2.7302117941442562e-05
Position 398: 9.952841024695653e-06
Position 64: 7.5918299196406e-06
Position 570: 6.674828745578506e-06
Position 88: 5.138878284814318e-06
Position 199: 4.655804842221275e-06
Position 803: 3.7078061255009374e-06
Position 750: 3.044044933901068e-06
Position 629: 2.8941979389457835e-06
Position 327: 2.195779589396763e-06
Position 82: 1.3615928403537613e-06
Position 748: 7.53196523596072e-07
Position 354: 1.9095280852556223e-07
Position 143: 1.6502380907511287e-07
Position 536: 1.4363374348554427e-07
Position 73: 1.3923359022523488e-07
Position 765: 3.491823669622205e-08
Position 800: 2.177644108497733e-08
Position 814: 1.3878801265102378e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 357: 0.9927744512456406
Position 565: 0.5753856132778101
Position 789: 0.19844182280407682
Position 585: 0.019132905516743084
Position 594: 0.002788878216242078
Position 577: 0.0022340967084470828
Position 163: 0.000736722333891593
Position 513: 0.0004167882703647172
Position 398: 0.0003004436056591346
Position 644: 0.00027210472924187035
Position 372: 0.0002251568246229903
Position 309: 0.0001969777599511693
Position 448: 0.00019199569670026647
Position 800: 0.00012214892082017373
Position 194: 9.720248226271973e-05
Position 524: 8.435784671066047e-05
Position 302: 7.470287672540051e-05
Position 205: 7.237691218158065e-05
Position 482: 6.98910999441513e-05
Position 861: 5.6696670030620146e-05
Position 428: 4.919225667394173e-05
Position 603: 4.86918088727986e-05
Position 219: 4.109397871462143e-05
Position 629: 3.2795826870391954e-05
Position 113: 2.2959333574704935e-05
Position 73: 1.7391916531410506e-05
Position 97: 1.4484865136322897e-05
Position 174: 1.257317681050651e-05
Position 536: 1.1800655943446187e-05
Position 154: 1.1768144193606513e-05
Position 64: 6.461099007543255e-06
Position 226: 2.6908538073456472e-06
Position 489: 2.043806540579265e-06
Position 249: 1.0820511875149169e-06
Position 135: 1.0051817897016559e-06
Position 827: 5.372397586844698e-07
Position 143: 5.059747184566326e-07
Position 526: 7.77161604033843e-08
Position 124: 6.463583751590886e-08
Position 221: 2.463946590193573e-08
Position 287: 2.3864170634180773e-08
Position 700: 1.7559011699846804e-08
Position 255: 7.714705526251181e-09
Position 521: 7.0024079280908706e-09
Position 260: 2.4701279916092786e-10
