Gene = cpb
index = 1657
Annotated 5SS: [213]
Annotated 3SS: [497]
SMsplice 5SS: [213]
SMsplice 3SS: [497]
top_k =  1000
Partition function (log Z): -9.53265733535688

Sorted 5' Splice Sites (High to Low Probability):
Position 213: 0.9769072663900751
Position 960: 0.011158462396420835
Position 379: 0.00932094331946659
Position 446: 0.002645484860413196
Position 171: 0.0021549712340518993
Position 451: 0.001415322181870589
Position 217: 0.001296996580500643
Position 443: 0.0011301513688643848
Position 262: 0.0010295592200660502
Position 840: 0.0009220879986010603
Position 824: 0.0006469012495035923
Position 202: 0.0005791409300763345
Position 389: 0.000441850324155093
Position 875: 0.0003083056098511324
Position 677: 0.0002387435444901862
Position 812: 0.00018531170654366417
Position 231: 0.00013348427450825235
Position 271: 0.0001303054894426329
Position 1437: 7.817321640520127e-05
Position 517: 7.221823150148738e-05
Position 1607: 6.956134105218966e-05
Position 1042: 6.627688679764332e-05
Position 73: 6.476852957712196e-05
Position 1773: 6.064796081168316e-05
Position 1379: 5.816171530719873e-05
Position 1143: 5.760234429961836e-05
Position 398: 5.4555728002764126e-05
Position 1326: 5.1603344535728215e-05
Position 169: 4.301663497909349e-05
Position 1790: 4.200282453357845e-05
Position 1305: 3.815363594933755e-05
Position 1763: 3.307104884194801e-05
Position 404: 2.8129964621091115e-05
Position 1779: 1.9295652950310368e-05
Position 719: 1.1679992925029628e-05
Position 1101: 9.814591593849175e-06
Position 1656: 7.529809386570151e-06
Position 122: 7.050099745130019e-06
Position 1212: 6.46206587675103e-06
Position 497: 3.0032773045428926e-06
Position 1725: 2.8863559498251674e-06
Position 16: 2.27279158163331e-06
Position 849: 1.7119610893063842e-06
Position 1874: 1.6680258331571002e-06
Position 14: 1.5547518198646361e-06
Position 82: 1.3444354296991203e-06
Position 1903: 1.2369378551855652e-06
Position 1948: 1.0726013033624385e-06
Position 264: 5.472476047116271e-07
Position 474: 7.0269181044838866e-09
Position 476: 2.122752664975971e-09
Position 353: 1.1007914747897242e-09
Position 951: 6.995069328487786e-10
Position 1540: 6.920711973055276e-10
Position 885: 6.351063110314852e-10
Position 621: 4.843868810705747e-10
Position 1456: 2.903094377104775e-10
Position 954: 6.169824347824241e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 497: 0.8556897680872325
Position 582: 0.06622534876638965
Position 1603: 0.02106507617857816
Position 1535: 0.014877150570120833
Position 509: 0.00754639366511867
Position 1085: 0.006581632621859429
Position 1028: 0.00521844508800624
Position 338: 0.005214012565070503
Position 902: 0.004384182844879671
Position 1369: 0.0030421157563026886
Position 1903: 0.0027878624682656315
Position 629: 0.0019106771496806853
Position 1088: 0.0019050200960238038
Position 1082: 0.0017842796875328262
Position 812: 0.0016751226044754055
Position 293: 0.0016702684356557466
Position 709: 0.001627454485164432
Position 1646: 0.0014064915741840184
Position 817: 0.001133549036389446
Position 1040: 0.0011182708290336132
Position 451: 0.0007620122573536509
Position 1205: 0.0005351423930818403
Position 1250: 0.00046371995367676714
Position 1814: 0.0003490395665050677
Position 554: 0.0002738107763403726
Position 1228: 0.00023583296813454364
Position 327: 0.0002330732093519001
Position 1374: 0.0002289308733504674
Position 2014: 0.0002189008673016776
Position 1723: 0.00017591761726755412
Position 250: 0.00013808655501693393
Position 2036: 0.00013201468554149812
Position 965: 0.00012396155373736866
Position 1225: 0.00011026398687050136
Position 404: 9.355625725310808e-05
Position 1139: 7.433683284953967e-05
Position 746: 7.2229198891888e-05
Position 1199: 4.521097077251344e-05
Position 231: 4.2849569377810494e-05
Position 1907: 3.934753639371289e-05
Position 1259: 3.744452196839699e-05
Position 638: 3.65756702122475e-05
Position 551: 3.0274378900351295e-05
Position 1708: 2.3544918804448327e-05
Position 116: 1.8188364422647694e-05
Position 1607: 1.5392275312957044e-05
Position 1643: 1.5301596177637976e-05
