Gene = cutlet
index = 1660
Annotated 5SS: [1012 1647 1932 2115 2274 2473 2771 3258 3451 3734 4233]
Annotated 3SS: [1066 1702 1997 2170 2332 2535 3081 3316 3512 4168 4293]
SMsplice 5SS: [1012 1647 1875 2115 2274 2473 2771 3258 3451 3734 4233]
SMsplice 3SS: [1066 1702 1997 2170 2332 2535 3081 3316 3512 4168 4293]
top_k =  1000
Partition function (log Z): 27.59381402412619

Sorted 5' Splice Sites (High to Low Probability):
Position 2115: 0.994158003441252
Position 4233: 0.993418219886706
Position 2473: 0.9932937506692564
Position 3451: 0.9908905338876373
Position 3258: 0.9692326330345454
Position 1012: 0.9637279695950494
Position 1647: 0.9237779136699024
Position 2771: 0.7981138253479546
Position 3734: 0.6758365073039295
Position 2274: 0.6278328935671287
Position 1879: 0.20542371514610314
Position 2284: 0.20496151964814513
Position 2242: 0.1525085883169735
Position 2970: 0.12022351514966717
Position 1919: 0.09720748672424498
Position 2673: 0.06855671050250169
Position 4112: 0.030181211492632965
Position 781: 0.02640836563934036
Position 1350: 0.025987489643863524
Position 580: 0.025489216509330708
Position 2944: 0.013617621320272503
Position 1896: 0.008442309772841501
Position 4037: 0.007101300524152953
Position 1777: 0.006123928771041118
Position 1289: 0.005836388774793769
Position 2692: 0.0054393862206002985
Position 1670: 0.00531821577379479
Position 1888: 0.0051642391785978545
Position 2697: 0.004747512134193933
Position 971: 0.003921274289880473
Position 34: 0.0037042174566217483
Position 4237: 0.0034211854165396745
Position 2255: 0.0033845936992317836
Position 2457: 0.003344572860421161
Position 222: 0.0032607570142371345
Position 1473: 0.0027447525687765463
Position 1234: 0.0025074246329518544
Position 889: 0.0023483295408894956
Position 2080: 0.002286514898002012
Position 1448: 0.0020908906720771207
Position 3969: 0.001915799642144746
Position 63: 0.0019045591901341674
Position 28: 0.0018374090624115184
Position 2119: 0.0018034995115414484
Position 1962: 0.0015237674506286616
Position 1640: 0.0014719163441881187
Position 2444: 0.0014716622124041508
Position 1891: 0.0014626832909991516
Position 1042: 0.00144269645678451
Position 1159: 0.001372099409703928
Position 3812: 0.0011709218666236072
Position 3947: 0.001155600228272517
Position 2677: 0.0011553480695820672
Position 454: 0.0011519679383591754
Position 2435: 0.0011013988117099926
Position 1023: 0.0009509763290458348
Position 3606: 0.0009318196222952086
Position 1050: 0.0008078880145089393
Position 3717: 0.0006230993808509605
Position 415: 0.0006055439509622851
Position 3828: 0.0005578579146037712
Position 584: 0.0005141656880973504
Position 2989: 0.0004951885279486591
Position 1607: 0.0004931114193858204
Position 4097: 0.00046697648413650234
Position 1247: 0.00044698877131148224
Position 2483: 0.00044270265401036974
Position 374: 0.0004118329340254259
Position 2620: 0.00037772088626899093
Position 1810: 0.00036793361256397364
Position 2639: 0.0003668214751325252
Position 3262: 0.0003627316294947113
Position 1016: 0.0003607476250226902
Position 955: 0.00033067401816749625
Position 2683: 0.0003153757935208877
Position 2090: 0.00031391291970050966
Position 3964: 0.00030263781175559294
Position 2602: 0.0002839453813722924
Position 1749: 0.0002807443827036171
Position 828: 0.0002763144298802777
Position 1112: 0.0002651450336487446
Position 1518: 0.00024226092886275397
Position 2253: 0.00024099996608611347
Position 2246: 0.00019924534137055798
Position 3238: 0.00017842375420057852
Position 1103: 0.00017802031416426134
Position 3865: 0.00016723206130719783
Position 3354: 0.00015071787336587734
Position 446: 0.00014593428954122098
Position 1418: 0.0001450427187966711
Position 3348: 0.00014100318220456356
Position 3455: 0.00012115893650994302
Position 952: 0.0001171252114664372
Position 2719: 0.00011484850353915655
Position 1244: 0.00010494337132043194
Position 1846: 9.793996662914103e-05
Position 2551: 8.933874442614324e-05
Position 465: 7.70116958570732e-05
Position 595: 7.645652198457262e-05
