Gene = TfAP-2
index = 1552
Annotated 5SS: [12511 22822 23059 24523 25357 25682 25953]
Annotated 3SS: [22590 22872 24314 25166 25416 25784 26015]
SMsplice 5SS: [   69 22822 23059 24523 25357 25682 25953]
SMsplice 3SS: [22590 22890 24314 25166 25416 25784 26015]
top_k =  1000
Partition function (log Z): 16.331857717261666

Sorted 5' Splice Sites (High to Low Probability):
Position 25357: 0.9994422334141232
Position 25953: 0.9984229920084651
Position 23059: 0.9964021085059368
Position 25682: 0.9957432447689849
Position 24523: 0.9924781195275226
Position 22822: 0.9911934649734817
Position 69: 0.9845314228738572
Position 25009: 0.5000432780882135
Position 24234: 0.1611041194874075
Position 4350: 0.15793910169524789
Position 12511: 0.12344265906408089
Position 24768: 0.1096979360965617
Position 565: 0.012519156359396606
Position 26101: 0.010089122882561799
Position 26420: 0.008795631460212706
Position 24789: 0.008716732672846512
Position 24134: 0.008295194798468448
Position 24001: 0.007454038799996549
Position 26226: 0.007084830380120791
Position 25110: 0.006959734225876145
Position 25529: 0.006334914903452512
Position 24957: 0.005107848837357053
Position 23328: 0.004405583687779771
Position 25488: 0.004047374273841948
Position 25048: 0.003999517551445014
Position 25108: 0.003938069466292702
Position 26283: 0.003342982413883199
Position 24677: 0.002806887552314289
Position 25701: 0.00247343100110595
Position 26250: 0.0015865846567393942
Position 23888: 0.001193359550942125
Position 24970: 0.0010916087791581805
Position 314: 0.00095460601202978
Position 25031: 0.0008653444131786202
Position 26138: 0.000748320214261795
Position 25964: 0.0006810571232857145
Position 1285: 0.0004910950101690163
Position 1391: 0.00044576057761446685
Position 126: 0.00043231270385172665
Position 903: 0.00040648071841099565
Position 24961: 0.0003344515102138975
Position 25967: 0.00028441651500183594
Position 25645: 0.0002757716320344501
Position 24777: 0.00025445327037755745
Position 24817: 0.00024899634061107144
Position 26269: 0.00024481282034480875
Position 25707: 0.00022200334764966136
Position 24685: 0.00022077414528005212
Position 25650: 0.00021679201366192434
