Gene = Rpn10
index = 1456
Annotated 5SS: [139 381]
Annotated 3SS: [239 440]
SMsplice 5SS: [139 381]
SMsplice 3SS: [239 440]
top_k =  1000
Partition function (log Z): -3.668072207352968

Sorted 5' Splice Sites (High to Low Probability):
Position 381: 0.9918081711976126
Position 139: 0.8807040013339849
Position 679: 0.017132420347579086
Position 126: 0.008544135333317026
Position 784: 0.007362584096899008
Position 79: 0.0032213554166292315
Position 92: 0.002709117809595327
Position 116: 0.0020018087146018537
Position 694: 0.0008626186536383456
Position 685: 0.0006867013424553135
Position 704: 0.0005512390968479241
Position 188: 0.00040286212245469437
Position 604: 0.00029346822763474283
Position 394: 0.00023920366474777018
Position 646: 0.00017336169813159092
Position 358: 0.00014841299895185329
Position 610: 0.00014352745509148092
Position 149: 0.0001411521108351286
Position 39: 0.00012431030665090902
Position 1318: 9.295528936996649e-05
Position 385: 7.582895440490545e-05
Position 559: 5.195932930325403e-05
Position 1508: 5.151217701614768e-05
Position 180: 4.331985085779011e-05
Position 790: 4.126836827189895e-05
Position 938: 3.150828673118435e-05
Position 8: 2.8274601777309526e-05
Position 1390: 2.7465479910220307e-05
Position 84: 2.3914101566608848e-05
Position 387: 1.6998769428207202e-05
Position 1121: 1.2404497851935741e-05
Position 1402: 1.2285723886842692e-05
Position 601: 1.1121866029233672e-05
Position 1406: 1.091460015149604e-05
Position 896: 1.003226605500168e-05
Position 1073: 9.897096818614583e-06
Position 898: 9.271930364101499e-06
Position 983: 8.014357043672466e-06
Position 1495: 7.86131295888987e-06
Position 210: 6.445013806192621e-06
Position 505: 3.875482112356085e-06
Position 451: 2.354481577893282e-06
Position 445: 1.2779623683615365e-06
Position 319: 9.485878391147885e-07
Position 1028: 8.876251547089698e-07
Position 375: 8.69892872948357e-07
Position 398: 3.4538634338555766e-07
Position 338: 1.4039263293110865e-08
Position 422: 8.099808313055903e-09
Position 428: 3.2337509000205114e-09
Position 295: 8.31617246527114e-10
Position 287: 3.4585316410362566e-10
Position 805: 1.3685143795692417e-10
Position 883: 1.0714535041976589e-10
Position 942: 7.859149894211472e-11
Position 810: 2.2233734056171503e-11
Position 1297: 1.8265367319523246e-11
Position 825: 9.745066250954155e-13
Position 828: 8.016239718419554e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 440: 0.9339587286406761
Position 239: 0.8606396259206938
Position 843: 0.015880085493265333
Position 736: 0.015362067647585376
Position 210: 0.014096618405048512
Position 261: 0.013423667206044427
Position 470: 0.012429988006342747
Position 510: 0.012169545541034702
Position 1224: 0.007031850448522572
Position 300: 0.004964569578649779
Position 251: 0.004643050488105885
Position 478: 0.004441860200268047
Position 1344: 0.003564150441178416
Position 901: 0.002697675896961165
Position 1212: 0.0018494741317404064
Position 1251: 0.001845932698902283
Position 788: 0.0012756350208463418
Position 495: 0.0012111709415373107
Position 451: 0.0010426570814132962
Position 516: 0.0010160334162790908
Position 762: 0.0008176896062959573
Position 1532: 0.0006406560002022964
Position 1556: 0.0006228539090389775
Position 1255: 0.0005849702290834105
Position 1380: 0.0005358905542741827
Position 1194: 0.00042053597707553337
Position 567: 0.00040650289777889196
Position 180: 7.123742222877355e-05
Position 805: 3.5750528127162576e-05
Position 1386: 2.2559439006221917e-05
Position 1069: 1.9045990371198758e-05
Position 1084: 1.3846432435039836e-05
Position 633: 1.1397512708061976e-05
Position 1260: 1.1359548017999026e-05
Position 1269: 1.0464657169143012e-05
Position 1502: 1.0384416715051687e-05
Position 654: 7.79189481605156e-06
Position 951: 7.395918593676945e-06
Position 333: 7.25936091613401e-06
Position 672: 7.206780267358057e-06
Position 726: 6.576723065887231e-06
Position 1491: 5.602159382941572e-06
Position 1419: 3.2723344716599414e-06
Position 582: 2.8733494038543943e-06
Position 577: 2.689822476688333e-06
Position 660: 2.105793695021582e-06
Position 698: 1.8725652478648834e-06
Position 694: 1.6551642368209068e-06
Position 1327: 1.248675868714141e-06
Position 79: 1.1693972849917382e-06
Position 963: 7.900094643777842e-07
Position 1119: 7.157280447153688e-07
Position 912: 6.648734906362204e-07
Position 678: 6.476819522638184e-07
Position 646: 6.43343655203889e-07
Position 675: 5.693248798176258e-07
Position 669: 5.400376495112666e-07
Position 849: 4.939040029987332e-07
Position 636: 4.038884015765005e-07
Position 168: 2.6471356257233275e-07
Position 351: 1.6674587449894692e-07
Position 158: 6.233617556084218e-08
Position 304: 2.6891911908917686e-08
Position 92: 1.4098509481416824e-08
Position 124: 9.189746972737686e-09
Position 302: 8.915201831378827e-09
Position 84: 8.137024628725787e-09
Position 53: 3.6541326223619693e-09
Position 271: 2.9233832736634268e-09
Position 381: 2.5540105866204038e-09
Position 99: 7.269146187409862e-10
Position 651: 1.7595056197869544e-10
Position 126: 1.0870483036928152e-11
Position 170: 4.3522588925746824e-12
Position 385: 9.51029946015109e-14
Position 392: 7.594513032633705e-14
