Gene = RhoGDI
index = 1424
Annotated 5SS: [ 166 2272 2455 2635]
Annotated 3SS: [2071 2344 2519 3238]
SMsplice 5SS: [ 782 2272 2455 2635]
SMsplice 3SS: [2071 2344 2519 3238]
top_k =  1000
Partition function (log Z): -1.9942973483294748

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.9872086600630114
Position 2272: 0.9551923879061371
Position 2635: 0.8888877607107502
Position 3170: 0.4023102361757391
Position 68: 0.31433839177013484
Position 383: 0.30955263775037206
Position 782: 0.2495493875237219
Position 206: 0.22513594194128075
Position 166: 0.11715285821587465
Position 32: 0.07566269772887022
Position 3555: 0.029897635783637893
Position 3806: 0.018392941952828184
Position 3352: 0.018189334907280013
Position 2600: 0.016595929909288022
Position 2035: 0.013806616533237606
Position 389: 0.011852792091448038
Position 3031: 0.011717687770230842
Position 399: 0.010317132395939154
Position 387: 0.010017713468447126
Position 1621: 0.009978579743611224
Position 2268: 0.009074777994343797
Position 407: 0.00897661689205483
Position 1062: 0.008445420884843628
Position 2815: 0.008431292447070011
Position 1263: 0.008245265357613902
Position 391: 0.007871285870756702
Position 395: 0.007366047276773297
Position 492: 0.0067931606260351034
Position 2999: 0.006760675868306636
Position 393: 0.006750536969585082
Position 1570: 0.0065195103442597085
Position 2282: 0.005307050864502937
Position 3607: 0.0045280813254773115
Position 3794: 0.00443062671318877
Position 2931: 0.0041736262312377145
Position 196: 0.0040395467756120275
Position 641: 0.0035747395796765597
Position 1606: 0.002949243926831144
Position 3166: 0.002838126070226409
Position 891: 0.002826255826816567
Position 3577: 0.0026560438381192614
Position 2553: 0.0022390316207466583
Position 202: 0.002132969830092829
Position 3526: 0.0019152763433245435
Position 200: 0.0018617753081431997
Position 1113: 0.0016142922161640084
Position 3640: 0.0015987686128417695
Position 198: 0.0015962652997462477
Position 298: 0.0014306306563343792
Position 719: 0.0014137995383694338
Position 215: 0.0010403723236687798
Position 3592: 0.0010090889949104901
Position 1674: 0.0007264072149694861
Position 3645: 0.0006396721670913011
Position 3629: 0.0006160231903865422
Position 3798: 0.0005724964799559774
Position 3396: 0.0005363539806611531
Position 22: 0.0003755642361076855
Position 3178: 0.0003716389272644407
Position 3149: 0.0003663209339716318
Position 3778: 0.00033753671906740316
Position 82: 0.00027898531142886136
Position 1913: 0.000223018788265431
Position 3774: 0.00022236303562035348
Position 1464: 0.00019486386286991946
Position 60: 0.00016636350580431043
Position 2242: 0.000123016390879882
Position 2301: 0.00011984983174919244
Position 3163: 0.00011531880645422572
Position 2308: 9.848463345309551e-05
Position 104: 8.964637031498575e-05
Position 2658: 8.46048930282725e-05
Position 2935: 7.773736105368504e-05
Position 2810: 7.60125355634783e-05
Position 3638: 6.953779836499996e-05
Position 3575: 5.690799974419269e-05
Position 210: 5.5838683380548327e-05
Position 3770: 4.9448048400553014e-05
Position 72: 3.866125236412646e-05
Position 409: 3.104464268846445e-05
Position 2639: 2.245880475682946e-05
Position 2438: 2.106183900136665e-05
Position 204: 2.0790227690655476e-05
Position 2628: 1.9179048998790655e-05
Position 2626: 1.3950355420205613e-05
Position 115: 1.3509237585629502e-05
Position 85: 1.055720338999983e-05
Position 3095: 9.316304560798304e-06
Position 2429: 7.788740070658369e-06
Position 413: 6.9181060860606214e-06
Position 397: 6.659156698310388e-06
Position 3093: 6.144853128772065e-06
Position 381: 5.560035225448244e-06
Position 2578: 4.34575288186007e-06
Position 431: 4.3195637374825676e-06
Position 3009: 3.403685404300378e-06
Position 3361: 3.200851360216325e-06
Position 540: 2.6100595382978835e-06
Position 3109: 2.574950325027537e-06
Position 3088: 2.4743805131052793e-06
Position 3553: 2.4659724950352705e-06
Position 2539: 1.7263913359741573e-06
Position 694: 1.4526739548984504e-06
Position 411: 1.2890220899192426e-06
Position 170: 1.0995044060331225e-06
Position 716: 8.78367225034799e-07
Position 302: 8.575537691191993e-07
Position 310: 3.712629792157814e-07
Position 2965: 3.606130676502844e-07
Position 6: 3.548774090717428e-07
Position 2975: 3.3515286982975984e-07
Position 2604: 2.0071490332506785e-07
Position 649: 1.0714221292499825e-07
Position 2901: 1.0609899010525911e-07
Position 685: 1.0173820302369588e-07
Position 2586: 6.806517263778857e-08
Position 176: 4.3293289928664515e-08
Position 179: 2.186391465653106e-08
Position 135: 1.4920862918325782e-08
Position 305: 5.580932937371539e-09
Position 2546: 4.8979722674464705e-09
Position 2571: 4.2179491114230495e-09
Position 496: 1.539347143454378e-09
Position 484: 1.175666554286279e-09
Position 357: 1.1208437611791559e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2519: 0.9642410048811405
Position 2344: 0.953902695559417
Position 3238: 0.6990742040180878
Position 2071: 0.6277948907505523
Position 2863: 0.44256372639082264
Position 129: 0.24180341912783027
Position 2077: 0.22616096358882626
Position 2729: 0.09078581909624019
Position 3698: 0.06812757512997193
Position 115: 0.06540728405609292
Position 2100: 0.04633056443253966
Position 2992: 0.028395970816614945
Position 165: 0.026254326849103112
Position 3861: 0.02476159145336108
Position 636: 0.022782684770574522
Position 1783: 0.022582113548640436
Position 1719: 0.02192777011446082
Position 279: 0.02139238440862602
Position 1684: 0.018771636628074205
Position 3638: 0.01807178648804506
Position 2900: 0.01750762667132286
Position 319: 0.014450256289069803
Position 2365: 0.014380017590494006
Position 2156: 0.013334649230830628
Position 305: 0.012353115531992198
Position 104: 0.0102953313201432
Position 3163: 0.007335102435713934
Position 3044: 0.006421204348251282
Position 1452: 0.00622188477289927
Position 292: 0.005665346782525293
Position 3088: 0.005309364007462924
Position 2802: 0.0050669596405709776
Position 578: 0.004991261946577338
Position 2576: 0.003968032842108797
Position 2674: 0.003930309882809466
Position 1761: 0.003644772384681442
Position 2082: 0.0035504170028794815
Position 3650: 0.0031512216849147387
Position 1024: 0.003143754281871941
