Gene = Bre1
index = 53
Annotated 5SS: [ 137 1493 2497]
Annotated 3SS: [ 339 1606 2548]
SMsplice 5SS: [ 137  833 1493 2497 2752]
SMsplice 3SS: [ 339  884 1606 2548 3820]
top_k =  1000
Partition function (log Z): 6.969127243347733

Sorted 5' Splice Sites (High to Low Probability):
Position 2497: 0.9923010541625934
Position 1493: 0.9841357244089397
Position 833: 0.6350831250049088
Position 2752: 0.6303516639438125
Position 137: 0.43042135405285525
Position 254: 0.4081257764799533
Position 29: 0.07905623384049093
Position 4050: 0.058591550218243235
Position 74: 0.04089045523966105
Position 827: 0.03647430462158016
Position 3498: 0.029658197193145656
Position 1808: 0.026401710945683738
Position 2780: 0.020753865486444346
Position 3929: 0.013062260583451706
Position 1545: 0.01243897114232518
Position 431: 0.008342685155874626
Position 844: 0.0061025583919870644
Position 3441: 0.006097466717170932
Position 2471: 0.005427054770581836
Position 2977: 0.005200793346128843
Position 1281: 0.0040940339734010945
Position 491: 0.00361996503350156
Position 628: 0.0035866699962473518
Position 104: 0.0034281318638954682
Position 2142: 0.002907413672302213
Position 722: 0.0025205461819629983
Position 3644: 0.002290639171967393
Position 1983: 0.0017842636944134362
Position 3972: 0.0016644135274379497
Position 2280: 0.0015652911759267247
Position 1472: 0.0014893834981816205
Position 116: 0.00090637958733465
Position 3774: 0.000898524861404337
Position 118: 0.0007950530558135359
Position 3905: 0.0007795306741039312
Position 4054: 0.0005665863961663744
Position 1513: 0.0005479885317384882
Position 617: 0.0004920156759502423
Position 620: 0.0004713405489619191
Position 815: 0.00044432096124332165
Position 802: 0.0004439989582405912
Position 3913: 0.00043117519466035425
Position 4073: 0.00038624377184345263
Position 2870: 0.0003733270258293298
Position 2501: 0.0003664184972615117
Position 4048: 0.000282308932989152
Position 1988: 0.0002784549151590244
Position 2103: 0.0002352375598323255
Position 3527: 0.0002213208489056535
Position 109: 0.0002196432832471598
Position 800: 0.0002052998369039184
Position 1628: 0.00020335472945426212
Position 2463: 0.00016388694309384634
Position 206: 0.00014547428666439462
Position 2008: 0.0001209777676393105
Position 1861: 0.00011953277438348081
Position 1772: 0.00011760044796143356
Position 979: 0.0001116077829710608
Position 3306: 0.00010961931119581252
Position 794: 0.00010785130053796929
Position 2916: 0.0001023338226868983
Position 4020: 0.00010044667353797671
Position 1087: 8.95671749034111e-05
Position 3275: 8.796539292167732e-05
Position 3587: 8.58106856139619e-05
Position 2930: 8.135827669366863e-05
Position 1497: 7.719955159829795e-05
Position 3182: 7.509735494307613e-05
Position 3162: 7.37300124315269e-05
Position 2747: 7.268731685416074e-05
Position 3897: 7.260226487844e-05
Position 2874: 7.091669273595655e-05
Position 3063: 6.98741457084306e-05
Position 3923: 6.154694776845532e-05
Position 992: 5.7620336569411034e-05
Position 2628: 5.0898329921282927e-05
Position 15: 4.358302902249227e-05
Position 2168: 3.4584758170802527e-05
Position 3419: 3.4385464538089016e-05
Position 608: 3.133101529135614e-05
Position 990: 3.117817431370575e-05
Position 1117: 3.0071379576696515e-05
Position 2144: 2.7802777638424566e-05
Position 3380: 2.4685409928721713e-05
Position 2447: 2.4170300630562607e-05
Position 4243: 2.3136447395511233e-05
Position 885: 2.2828315288162154e-05
Position 1838: 2.223418799350506e-05
Position 3008: 2.0059480588796805e-05
Position 4004: 1.8098712868349625e-05
Position 4229: 1.4122646442925595e-05
Position 167: 1.2363617194314208e-05
Position 3674: 1.1329698760424229e-05
Position 2633: 1.1062484007843622e-05
Position 2836: 1.0295750898718595e-05
Position 31: 1.0289387606720174e-05
Position 7: 8.779255654550308e-06
Position 3167: 8.453230164859614e-06
Position 4235: 7.898154509614346e-06
Position 1549: 4.996004626478216e-06
Position 1648: 4.449769566027244e-06
Position 188: 4.167700956783701e-06
Position 4215: 2.9367901322636176e-06
Position 195: 2.6890838465596743e-06
Position 2288: 2.41503990163031e-06
Position 733: 2.262556335667597e-06
Position 2379: 1.999891605673734e-06
Position 141: 1.6725104167285211e-06
Position 463: 1.6647921921335404e-06
Position 1654: 1.20457387572848e-06
Position 2505: 1.1973291408544665e-06
Position 3482: 8.055444483851383e-07
Position 1352: 7.860380342506237e-07
Position 3325: 7.32621056446651e-07
Position 3309: 6.954133748739148e-07
Position 3484: 6.163645507319876e-07
Position 2878: 6.066385290631104e-07
Position 3521: 5.69847971195618e-07
Position 461: 5.433047271666473e-07
Position 2594: 5.184110099280663e-07
Position 392: 5.150901936645054e-07
Position 3589: 5.043110221387293e-07
Position 2456: 5.028967331739556e-07
Position 2219: 3.9291013410451264e-07
Position 1882: 3.2829245769170897e-07
Position 3117: 2.761025251297781e-07
Position 2430: 2.4864160912967206e-07
Position 3491: 2.118443945160872e-07
Position 3679: 1.9440638989783728e-07
Position 2277: 1.8763422455342117e-07
Position 299: 1.1073879775336884e-07
Position 2086: 5.5827081184097877e-08
Position 2043: 3.796840078883915e-08
Position 2402: 3.540678672891604e-08
Position 2432: 2.5487647306048915e-08
Position 1634: 9.843279560006599e-09
Position 2178: 6.308346600993183e-09
Position 1676: 6.18484091322008e-09
Position 1396: 5.219475952163816e-09
Position 2020: 5.08957736305329e-09
Position 3529: 1.76905707307008e-09
Position 659: 4.2585818460948756e-10
Position 1099: 2.618753056764796e-10
Position 1690: 3.9184191430533695e-11
Position 748: 3.805485013042298e-11
Position 318: 4.574388312489236e-12
Position 349: 1.9830605987562538e-12
Position 339: 2.8772288389835763e-13
Position 329: 1.6293272610050953e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2548: 0.9940609185380538
Position 1606: 0.9918901562118994
Position 339: 0.9445450848793351
Position 3820: 0.6720124319438892
Position 884: 0.5140729390178302
Position 902: 0.08211786593058198
Position 4106: 0.052412568949666144
Position 1328: 0.04448877201944279
Position 917: 0.029442178707969915
Position 4138: 0.017212581795865226
Position 1858: 0.015694927920082022
Position 891: 0.014393636324373488
Position 4073: 0.009368440534795243
Position 4009: 0.008351673528868545
Position 136: 0.008231767568914068
Position 1615: 0.007561646082025288
Position 2255: 0.005440356255290093
Position 1087: 0.005051210494147059
Position 195: 0.0038940788625626103
Position 3565: 0.0036659094265646328
Position 670: 0.0034437669197216526
Position 1891: 0.002451518698037252
Position 318: 0.00204048914756764
Position 1108: 0.0019698875993009583
Position 4053: 0.0019352817860088746
Position 2222: 0.0019214973242673917
Position 4077: 0.0018828739164677114
Position 505: 0.0013857097506505558
Position 1332: 0.0013247267241738192
Position 2972: 0.0012958361009320792
Position 159: 0.0012881308615326854
Position 2553: 0.0011774924033150019
Position 1861: 0.001092381504909725
Position 4028: 0.0010717449570979568
Position 1273: 0.0010490310151680532
Position 2308: 0.0010190872036144809
Position 2889: 0.000990868381040035
Position 2836: 0.0009824949221017064
Position 1294: 0.0008620445755855755
Position 2178: 0.0007883033153036122
Position 4143: 0.0006879869024952291
Position 640: 0.0006644420311495149
Position 2798: 0.0006119385474085697
Position 2416: 0.0005384694582033952
Position 4347: 0.0005262350551591996
Position 345: 0.0005132800225024841
Position 1144: 0.00048520312999003314
Position 3249: 0.00045325668778415447
Position 2339: 0.0004418087029716009
Position 1981: 0.00044104884029722274
Position 2567: 0.0004263262861145108
Position 2813: 0.00041447496143955825
Position 1359: 0.00039667360064714476
Position 3795: 0.00038792004932096993
Position 3128: 0.00036663574401192854
Position 2038: 0.00035975499770411827
Position 2047: 0.0003363260455356443
Position 535: 0.000332706345524
Position 2425: 0.00031465666183195953
Position 1987: 0.0002919099915096009
Position 4048: 0.0002909603867666315
Position 109: 0.000286838413454561
Position 177: 0.00027675694430946284
Position 4201: 0.0002733315893240411
Position 1699: 0.0002600642603614921
