Gene = hoip
index = 1729
Annotated 5SS: [147]
Annotated 3SS: [208]
SMsplice 5SS: [147]
SMsplice 3SS: [208]
top_k =  1000
Partition function (log Z): -2.9920094310198784

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9988537514155882
Position 123: 0.0006292241221224652
Position 117: 0.00021824157953578263
Position 91: 0.00014590755562023008
Position 449: 0.00011134057787391602
Position 161: 0.00010805664700029101
Position 375: 6.883346440152884e-05
Position 418: 3.753852200393222e-05
Position 362: 2.7437841292937728e-05
Position 151: 2.7126056056554063e-05
Position 11: 2.1196738607116666e-05
Position 218: 1.4752050740421317e-05
Position 365: 1.2291328508416274e-05
Position 53: 1.0756487004691267e-05
Position 71: 7.935987034301796e-06
Position 474: 7.089779181646044e-06
Position 434: 3.910560684143808e-06
Position 31: 3.745703742612812e-06
Position 177: 2.1580391528996113e-06
Position 33: 1.824886387052669e-06
Position 443: 1.7076064457633145e-06
Position 541: 1.5699198683622443e-06
Position 191: 1.8540256227510334e-07
Position 453: 1.2064839993208125e-07
Position 478: 9.616644255265464e-08
Position 485: 9.626925192881184e-09
Position 512: 8.295284628184107e-09
Position 500: 1.0316484469716793e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 208: 0.9997780591124634
Position 500: 0.00014140842750321912
Position 463: 0.0001115783144942358
Position 229: 6.545967073811107e-05
Position 283: 4.844555191735225e-05
Position 253: 3.6827624144865e-05
Position 214: 3.193797500312495e-05
Position 460: 2.3249628798194798e-05
Position 191: 2.249024475977552e-05
Position 71: 1.8109222906054897e-05
Position 117: 1.1880456319483295e-05
Position 265: 7.010672541112713e-06
Position 600: 5.504508626021831e-06
Position 287: 3.401164275233585e-06
Position 430: 2.957823742054235e-06
Position 531: 2.735219108811339e-06
Position 313: 1.1880056564593264e-06
Position 565: 1.1341472652734797e-06
Position 138: 5.862185992095444e-07
Position 526: 5.741899604141794e-07
Position 123: 4.4752184978910157e-07
Position 568: 2.988362350249639e-07
Position 424: 2.8675697349817167e-07
Position 624: 2.281761912344664e-07
Position 562: 1.625599959035402e-07
Position 607: 1.5930496263323336e-07
Position 535: 1.4878967456402958e-07
Position 76: 1.0805785312528698e-07
Position 218: 1.046059933606057e-07
Position 104: 1.0407161309059993e-07
Position 79: 9.45905388129979e-08
Position 165: 6.72076610508053e-08
Position 151: 2.6266091644508906e-08
Position 547: 1.81163219415859e-08
Position 584: 5.331718139367337e-09
Position 394: 4.910998516583066e-09
Position 485: 4.370623662579556e-09
Position 172: 3.1571645014924304e-09
Position 541: 2.7352143015220614e-09
Position 334: 2.4458888661766544e-09
Position 589: 1.1857106771055587e-09
Position 385: 4.726166053442474e-10
Position 574: 2.528485598464773e-10
Position 325: 1.1993781510367648e-10
Position 83: 1.4967431326031084e-11
Position 90: 1.4704145906062234e-12
Position 88: 1.425651351649197e-13
Position 174: 2.2050539799879597e-14
Position 317: 1.3779035931634366e-14
