Gene = l(3)76BDm
index = 1754
Annotated 5SS: [ 242  698 1682 1988 2505 3512 3998]
Annotated 3SS: [ 535  756 1738 2041 2598 3571 4127]
SMsplice 5SS: [ 242  698 1682 1988 2505 3512 3998]
SMsplice 3SS: [ 535  756 1738 2041 2598 3571 4127]
top_k =  1000
Partition function (log Z): 22.77911913457428

Sorted 5' Splice Sites (High to Low Probability):
Position 698: 0.9982546455769816
Position 2505: 0.9937881091351353
Position 1988: 0.9828003769412365
Position 1682: 0.9769283436393381
Position 3998: 0.9755609191432018
Position 242: 0.944570029778317
Position 3512: 0.9354813542548831
Position 3699: 0.06892668810698803
Position 3337: 0.06353994034940892
Position 2228: 0.05016521102716402
Position 2894: 0.026928791001130884
Position 3516: 0.022362243904533237
Position 294: 0.018493128677417224
Position 3014: 0.01672288748345192
Position 1146: 0.015923097243142205
Position 441: 0.014702315932597446
Position 1965: 0.013771673863939474
Position 1921: 0.009436516663497005
Position 2332: 0.00909363613823237
Position 808: 0.008131718400245562
Position 265: 0.007956795217511381
Position 3823: 0.007926324457756902
Position 4763: 0.007922943984754252
Position 1631: 0.0075189518508337085
Position 977: 0.006091425145831196
Position 3221: 0.005914668219631448
Position 3055: 0.005347529906784671
Position 3769: 0.0050555892680730205
Position 3018: 0.004393823569449543
Position 3509: 0.004216733717033361
Position 273: 0.0038160058226050352
Position 289: 0.003412938232473958
Position 1135: 0.0031961059255069756
Position 3703: 0.0029054610088557423
Position 2653: 0.002363877655259172
Position 2513: 0.0022110417207439094
Position 1189: 0.002065773207493005
Position 6: 0.0020062923119947558
Position 2509: 0.0018396231080232196
Position 996: 0.0016428335309798794
Position 2668: 0.0016083068351883975
Position 2794: 0.0014894034493511939
Position 3990: 0.0014767428490031127
Position 2260: 0.0014634972058894667
Position 4995: 0.0013325086569242067
Position 1011: 0.0012051375150359854
Position 1296: 0.001089270654268083
Position 3374: 0.001051657058828144
Position 1006: 0.0009889103124198736
Position 4382: 0.0009190216786438566
Position 794: 0.0008976443842943401
Position 1980: 0.0008534689660350968
Position 437: 0.0008195687454015634
Position 3682: 0.0007740718670984832
Position 386: 0.0007551998870262646
Position 362: 0.0007119125325187633
Position 934: 0.0006852522197270753
Position 2202: 0.0006230316195723413
Position 258: 0.0005842084759513282
Position 462: 0.0005732490933906326
Position 980: 0.0005722004594908037
Position 3936: 0.0005618057443478926
Position 3194: 0.0005458969934962486
Position 327: 0.0005091327035635844
Position 704: 0.0005087356964125954
Position 1399: 0.0004919359289386416
Position 1097: 0.0004796412033638888
Position 2319: 0.0004499600082307097
Position 269: 0.00042672943411039573
Position 1775: 0.00041045803811584625
Position 34: 0.00040083005808177373
Position 2998: 0.0003970537775048273
Position 409: 0.000364011401543078
Position 1166: 0.00035893077249583047
Position 2939: 0.00034712217018156556
Position 2486: 0.000342610400978454
Position 246: 0.00033939795910663056
Position 3175: 0.00033040178458058856
Position 4064: 0.0003301422539734816
Position 1258: 0.00032685243309999736
Position 4002: 0.0002799354866914369
